yr,r,s,value
2009,ME,ppd,0.01768563335419686
2005,ME,ppd,0.021055848481448956
2006,ME,ppd,0.020403482663420135
2012,ME,ppd,0.016506228765571916
2014,ME,ppd,0.014458519456069158
2013,ME,ppd,0.01596523907017709
1999,ME,ppd,0.027821327832273816
2002,ME,ppd,0.023424046001818192
2017,ME,ppd,0.012167538056301285
2016,ME,ppd,0.012925708963623462
2015,ME,ppd,0.012766701643931448
1998,ME,ppd,0.02663224549788657
2004,ME,ppd,0.021230770397503422
2000,ME,ppd,0.02782458803401212
1997,ME,ppd,0.025505292682354172
2007,ME,ppd,0.023261823833229847
2010,ME,ppd,0.01671580293396796
2003,ME,ppd,0.02108646233440464
2011,ME,ppd,0.016623831340559468
2001,ME,ppd,0.02464753851703572
2008,MA,ppd,0.015447344349078454
2009,MA,ppd,0.013874525298570538
2005,MA,ppd,0.01745047446257877
2006,MA,ppd,0.01655282539605898
2012,MA,ppd,0.013688184220460553
2014,MA,ppd,0.01426284819788534
2013,MA,ppd,0.014171791015357954
1999,MA,ppd,0.025403106975960932
2002,MA,ppd,0.01938669169764743
2017,MA,ppd,0.013798909528437894
2016,MA,ppd,0.013908626475879857
2015,MA,ppd,0.014424758522345094
1998,MA,ppd,0.02402917444693692
2004,MA,ppd,0.019258989614023912
2000,MA,ppd,0.021830016594414497
1997,MA,ppd,0.026072398042944683
2007,MA,ppd,0.016802997728015048
2010,MA,ppd,0.016673178702092138
2003,MA,ppd,0.019467743199811868
2011,MA,ppd,0.013696129921406489
2001,MA,ppd,0.021249553757502017
2008,MS,ppd,0.011192853389385181
2009,MS,ppd,0.01115664345810396
2005,MS,ppd,0.012293861193100275
2006,MS,ppd,0.011172596701850833
2012,MS,ppd,0.013250283125707816
2014,MS,ppd,0.011410631119133827
2013,MS,ppd,0.011355544861948893
1999,MS,ppd,0.0153850039994948
2002,MS,ppd,0.01328539013592118
2017,MS,ppd,0.010976980138097493
2016,MS,ppd,0.010968465875406614
2015,MS,ppd,0.01196626039228348
1998,MS,ppd,0.01496855368431229
2004,MS,ppd,0.01438452000409524
2000,MS,ppd,0.016202065940285833
1997,MS,ppd,0.014775442531818403
2007,MS,ppd,0.013091730046552362
2010,MS,ppd,0.012702021098994778
2003,MS,ppd,0.015448381280865406
2011,MS,ppd,0.012204343129586173
2001,MS,ppd,0.014950759126243171
2008,WA,ppd,0.024655028123236215
2009,WA,ppd,0.023210812142234128
2005,WA,ppd,0.028392320398602726
2006,WA,ppd,0.027140839557096813
2012,WA,ppd,0.022363155907889773
2014,WA,ppd,0.021284097038841626
2013,WA,ppd,0.025474065143005285
1999,WA,ppd,0.02491811560644971
2002,WA,ppd,0.021805408761336
2017,WA,ppd,0.021831110597230103
2016,WA,ppd,0.021722133343414537
2015,WA,ppd,0.020044663276562544
1998,WA,ppd,0.026784419527687616
2004,WA,ppd,0.028683722570443767
2000,WA,ppd,0.02376120766173122
1997,WA,ppd,0.029639382396977363
2007,WA,ppd,0.025201804666721703
2010,WA,ppd,0.023764785280431924
2003,WA,ppd,0.029603355020772906
2011,WA,ppd,0.02356687898089172
2001,WA,ppd,0.02324946777988984
2008,TX,ppd,0.03608532336856036
2009,TX,ppd,0.040840771939177484
2005,TX,ppd,0.040893142439352735
2006,TX,ppd,0.03593199528885102
2012,TX,ppd,0.03612306530766327
2014,TX,ppd,0.03620447117638971
2013,TX,ppd,0.03754876491802522
1999,TX,ppd,0.0518923925398897
2002,TX,ppd,0.04680005025905587
2017,TX,ppd,0.03776001676536795
2016,TX,ppd,0.036491671836148334
2015,TX,ppd,0.035809656415637534
1998,TX,ppd,0.056377792617232185
2004,TX,ppd,0.044512951187049954
2000,TX,ppd,0.05134942176826993
1997,TX,ppd,0.045384683459487186
2007,TX,ppd,0.03662992487733794
2010,TX,ppd,0.0405001243206763
2003,TX,ppd,0.04382887826291448
2011,TX,ppd,0.04158378962267665
2001,TX,ppd,0.04972122693790734
2008,AL,ppd,0.05096436425916195
2009,AL,ppd,0.05097504643680798
2005,AL,ppd,0.050324367608886554
2006,AL,ppd,0.04957053014221392
2012,AL,ppd,0.052710456776141945
2014,AL,ppd,0.0510049746332486
2013,AL,ppd,0.04825795820378186
1999,AL,ppd,0.036566328463773
2002,AL,ppd,0.039553137865024866
2017,AL,ppd,0.04707310639866166
2016,AL,ppd,0.04590156046747007
2015,AL,ppd,0.046518080555331354
1998,AL,ppd,0.04216115766840742
2004,AL,ppd,0.048759863643775055
2000,AL,ppd,0.043471898838390984
1997,AL,ppd,0.037466881227548314
2007,AL,ppd,0.05022235302985166
2010,AL,ppd,0.05074414804816538
2003,AL,ppd,0.03825938700321392
2011,AL,ppd,0.04769992922859165
2001,AL,ppd,0.046269038901131355
2008,NV,ppd,0.001138553161674549
2009,NV,ppd,0.0012180699496069955
2005,NV,ppd,0.0010638174411902377
2006,NV,ppd,0.0010588014161037832
2012,NV,ppd,0.001321253303133258
2014,NV,ppd,0.0015935749315150597
