yr,r,s,value
2013,NY,ppd,0.0
1999,NY,ppd,0.0
2002,NY,ppd,0.0
2017,NY,ppd,0.0
2016,NY,ppd,0.0
2015,NY,ppd,0.0
1998,NY,ppd,0.0
2004,NY,ppd,0.0
2000,NY,ppd,0.0
1997,NY,ppd,0.0
2007,NY,ppd,0.0
2010,NY,ppd,0.0
2003,NY,ppd,0.0
2011,NY,ppd,0.0
2001,NY,ppd,0.0
2008,OR,ppd,0.0
2009,OR,ppd,0.0
2005,OR,ppd,0.0
2006,OR,ppd,0.0
2012,OR,ppd,0.0
2014,OR,ppd,0.0
2013,OR,ppd,0.0
1999,OR,ppd,0.0
2002,OR,ppd,0.0
2017,OR,ppd,0.0
2016,OR,ppd,0.0
2015,OR,ppd,0.0
1998,OR,ppd,0.0
2004,OR,ppd,0.0
2000,OR,ppd,0.0
1997,OR,ppd,0.0
2007,OR,ppd,0.0
2010,OR,ppd,0.0
2003,OR,ppd,0.0
2011,OR,ppd,0.0
2001,OR,ppd,0.0
2008,ND,ppd,0.6299009221127914
2009,ND,ppd,0.4960797295899341
2005,ND,ppd,0.6265306121892648
2006,ND,ppd,0.5527967985564606
2012,ND,ppd,0.0
2014,ND,ppd,0.0
2013,ND,ppd,0.0
1999,ND,ppd,0.5671036204493723
2002,ND,ppd,0.6091386994616635
2017,ND,ppd,0.5692534748067849
2016,ND,ppd,0.5307029976494739
2015,ND,ppd,0.5222968528114547
1998,ND,ppd,0.5891056189383417
2004,ND,ppd,0.6132696223864605
2000,ND,ppd,0.5498560889206513
1997,ND,ppd,0.0
2007,ND,ppd,0.0
2010,ND,ppd,0.530590891556423
2003,ND,ppd,0.6444583949061901
2011,ND,ppd,0.5623422902556381
2001,ND,ppd,0.6277914677152698
2008,SC,ppd,0.0
2009,SC,ppd,0.0
2005,SC,ppd,0.0
2006,SC,ppd,0.0
2012,SC,ppd,0.0
2014,SC,ppd,0.0
2013,SC,ppd,0.0
1999,SC,ppd,0.0
2002,SC,ppd,0.0
2017,SC,ppd,0.0
2016,SC,ppd,0.0
2015,SC,ppd,0.0
1998,SC,ppd,0.0
2004,SC,ppd,0.0
2000,SC,ppd,0.0
1997,SC,ppd,0.0
2007,SC,ppd,0.0
2010,SC,ppd,0.0
2003,SC,ppd,0.0
2011,SC,ppd,0.0
2001,SC,ppd,0.0
2008,ID,ppd,0.0
2009,ID,ppd,0.0
2005,ID,ppd,0.0
2006,ID,ppd,0.0
2012,ID,ppd,0.0
2014,ID,ppd,0.0
2013,ID,ppd,0.0
1999,ID,ppd,0.0
2002,ID,ppd,0.0
2017,ID,ppd,0.0
2016,ID,ppd,0.0
2015,ID,ppd,0.0
1998,ID,ppd,0.0
2004,ID,ppd,0.0
2000,ID,ppd,0.0
1997,ID,ppd,0.0
2007,ID,ppd,0.0
2010,ID,ppd,0.0
2003,ID,ppd,0.0
2011,ID,ppd,0.0
2001,ID,ppd,0.0
2008,NJ,ppd,0.0
2009,NJ,ppd,0.0
2005,NJ,ppd,0.0
2006,NJ,ppd,0.0
2012,NJ,ppd,0.0
2014,NJ,ppd,0.0
2013,NJ,ppd,0.0
1999,NJ,ppd,0.0
2002,NJ,ppd,0.0
2017,NJ,ppd,0.0
2016,NJ,ppd,0.0
2015,NJ,ppd,0.0
1998,NJ,ppd,0.0
2004,NJ,ppd,0.0
2000,NJ,ppd,0.0
1997,NJ,ppd,0.0
2007,NJ,ppd,0.0
2010,NJ,ppd,0.0
2003,NJ,ppd,0.0
2011,NJ,ppd,0.0
2001,NJ,ppd,0.0
2008,UT,ppd,0.0
2009,UT,ppd,0.0
2005,UT,ppd,0.0
2006,UT,ppd,0.0
2012,UT,ppd,0.0
2014,UT,ppd,0.0
2013,UT,ppd,0.0
1999,UT,ppd,0.0
2002,UT,ppd,0.0
2017,UT,ppd,0.0
2016,UT,ppd,0.0
2015,UT,ppd,0.0
1998,UT,ppd,0.0
2004,UT,ppd,0.0
2000,UT,ppd,0.0
1997,UT,ppd,0.0
2007,UT,ppd,0.0
2010,UT,ppd,0.0
2003,UT,ppd,0.0
2011,UT,ppd,0.0
2001,UT,ppd,0.0
2008,MT,ppd,0.6299009221127914
2009,MT,ppd,0.4960797295899341
2005,MT,ppd,0.6265306121892648
2006,MT,ppd,0.5527967985564606
2012,MT,ppd,0.568508794179855
2014,MT,ppd,0.5409749718419531
2013,MT,ppd,0.5380652966892646
1999,MT,ppd,0.0
2002,MT,ppd,0.6091386994616635
2017,MT,ppd,0.5692534748067849
