yr,ts,j,value
2008,subsidies,ore,1.8960000000000001
2008,subsidies,sle,16.482
2008,subsidies,trn,1.799
2008,subsidies,trk,0.014
2008,subsidies,wtt,0.28
2008,subsidies,air,0.14100000000000001
2009,taxes,ppd,0.098
2009,taxes,res,34.499
2009,taxes,com,2.191
2009,taxes,amb,0.988
2009,taxes,fbp,24.379
2009,taxes,rec,5.259
2009,taxes,con,1.149
2009,taxes,eec,0.075
2009,taxes,pub,0.9440000000000001
2009,taxes,fbt,16.631
2009,taxes,ins,16.43
2009,taxes,tex,0.028
2009,taxes,leg,7.107
2009,taxes,uti,29.183
2009,taxes,nmp,0.08700000000000001
2009,taxes,brd,28.243000000000002
2009,taxes,bnk,1.283
2009,taxes,ore,0.838
2009,taxes,edu,0.606
2009,taxes,ote,0.069
2009,taxes,man,0.867
2009,taxes,mch,0.154
2009,taxes,dat,0.676
2009,taxes,amd,14.509
2009,taxes,oil,7.338
2009,taxes,hos,1.312
2009,taxes,rnt,7.469
2009,taxes,pla,-0.033
2009,taxes,fof,0.38
2009,taxes,tsv,3.3930000000000002
2009,taxes,nrs,1.3820000000000001
2009,taxes,sec,0.726
2009,taxes,art,4.8790000000000004
2009,taxes,mov,2.531
2009,taxes,fpd,0.028
2009,taxes,pri,0.051000000000000004
2009,taxes,grd,0.614
2009,taxes,pip,0.044
2009,taxes,sle,0.47700000000000004
2009,taxes,osv,8.452
2009,taxes,trn,0.6940000000000001
2009,taxes,smn,0.138
2009,taxes,fmt,-0.01
2009,taxes,pet,0.198
2009,taxes,mvt,25.689
2009,taxes,cep,0.23900000000000002
2009,taxes,wst,1.03
2009,taxes,mot,0.065
2009,taxes,adm,3.757
2009,taxes,soc,0.595
2009,taxes,alt,0.012
2009,taxes,pmt,0.091
2009,taxes,trk,0.48
2009,taxes,gmt,33.924
2009,taxes,wtt,0.085
2009,taxes,wpd,0.079
2009,taxes,wht,147.562
2009,taxes,wrh,0.065
2009,taxes,ott,73.102
2009,taxes,che,0.451
2009,taxes,air,13.793000000000001
2009,taxes,mmf,0.046
2009,taxes,otr,0.17
2009,taxes,min,2.291
2009,subsidies,agr,10.361
2009,subsidies,eec,0.327
2009,subsidies,hou,16.754
2009,subsidies,tex,0.006
2009,subsidies,fen,4.847
2009,subsidies,brd,0.041
2009,subsidies,bnk,0.221
2009,subsidies,ore,1.816
2009,subsidies,sle,18.138
2009,subsidies,trn,2.2680000000000002
2009,subsidies,pet,0.025
2009,subsidies,mvt,2.9050000000000002
2009,subsidies,trk,0.006
2009,subsidies,wtt,0.449
2009,subsidies,che,0.014
2009,subsidies,air,0.171
2005,taxes,ppd,0.105
2005,taxes,res,29.513
2005,taxes,com,1.616
2005,taxes,amb,0.791
2005,taxes,fbp,16.047
2005,taxes,rec,4.509
2005,taxes,con,1.176
2005,taxes,eec,0.069
2005,taxes,pub,0.9470000000000001
2005,taxes,fbt,14.158
2005,taxes,ins,15.524000000000001
2005,taxes,tex,0.034
2005,taxes,leg,24.903000000000002
2005,taxes,uti,24.363
2005,taxes,nmp,0.10400000000000001
2005,taxes,brd,33.076
2005,taxes,bnk,1.254
2005,taxes,ore,0.7030000000000001
2005,taxes,edu,0.461
2005,taxes,ote,0.064
2005,taxes,man,0.753
2005,taxes,mch,0.147
2005,taxes,dat,0.713
2005,taxes,amd,12.731
2005,taxes,oil,7.569
2005,taxes,hos,1.185
2005,taxes,rnt,6.978
2005,taxes,pla,0.114
2005,taxes,fof,0.34900000000000003
2005,taxes,tsv,2.741
2005,taxes,nrs,1.16
2005,taxes,sec,1.111
2005,taxes,art,4.071
2005,taxes,mov,2.092
2005,taxes,fpd,0.039
2005,taxes,pri,0.058
2005,taxes,grd,0.195
2005,taxes,pip,0.028
2005,taxes,sle,0.40700000000000003
2005,taxes,osv,7.841
2005,taxes,trn,0.389
2005,taxes,smn,0.08700000000000001
2005,taxes,fmt,0.152
2005,taxes,pet,0.179
2005,taxes,mvt,31.519000000000002
2005,taxes,cep,0.242
2005,taxes,wst,0.774
2005,taxes,mot,0.168
2005,taxes,adm,3.456
2005,taxes,soc,0.462
2005,taxes,alt,0.014
2005,taxes,pmt,0.105
2005,taxes,trk,0.419
2005,taxes,gmt,31.29
2005,taxes,wtt,0.093
2005,taxes,wpd,0.128
2005,taxes,wht,152.56300000000002
2005,taxes,wrh,0.05
2005,taxes,ott,74.959
2005,taxes,che,0.514
2005,taxes,air,12.781
2005,taxes,mmf,0.09
2005,taxes,otr,0.145
2005,taxes,min,2.33
2005,subsidies,agr,20.914
2005,subsidies,hou,16.762
2005,subsidies,fen,2.319
2005,subsidies,bnk,0.058
2005,subsidies,ore,3.482
2005,subsidies,sle,15.061
2005,subsidies,trn,1.7530000000000001
2005,subsidies,trk,0.019
2005,subsidies,wtt,0.482
2005,subsidies,air,0.061
2006,taxes,ppd,0.108
2006,taxes,res,32.122
2006,taxes,com,1.851
2006,taxes,amb,0.84
2006,taxes,fbp,16.157
2006,taxes,rec,4.807
2006,taxes,con,1.3900000000000001
2006,taxes,eec,0.076
2006,taxes,pub,0.984
2006,taxes,fbt,15.43
2006,taxes,ins,16.141000000000002
2006,taxes,tex,0.037
2006,taxes,leg,23.329
2006,taxes,uti,27.132
2006,taxes,nmp,0.116
2006,taxes,brd,33.08
2006,taxes,bnk,1.348
2006,taxes,ore,0.777
2006,taxes,edu,0.491
2006,taxes,ote,0.07200000000000001
2006,taxes,man,0.777
2006,taxes,mch,0.164
2006,taxes,dat,0.754
2006,taxes,amd,13.889000000000001
2006,taxes,oil,8.93
2006,taxes,hos,1.281
2006,taxes,rnt,7.7700000000000005
2006,taxes,pla,0.20500000000000002
2006,taxes,fof,0.38
2006,taxes,tsv,3.035
2006,taxes,nrs,1.27
2006,taxes,sec,1.09
2006,taxes,art,4.39
2006,taxes,mov,2.269
2006,taxes,fpd,0.042
2006,taxes,pri,0.06
2006,taxes,grd,0.224
2006,taxes,pip,0.034
2006,taxes,sle,0.432
2006,taxes,osv,8.456
2006,taxes,trn,0.442
2006,taxes,smn,0.114
2006,taxes,fmt,0.217
2006,taxes,pet,0.245
2006,taxes,mvt,32.671
2006,taxes,cep,0.267
2006,taxes,wst,0.857
2006,taxes,mot,0.212
2006,taxes,adm,3.701
2006,taxes,soc,0.496
2006,taxes,alt,0.014
2006,taxes,pmt,0.113
2006,taxes,trk,0.47800000000000004
2006,taxes,gmt,33.263
2006,taxes,wtt,0.134
2006,taxes,wpd,0.134
2006,taxes,wht,161.877
2006,taxes,wrh,0.057
2006,taxes,ott,80.269
2006,taxes,che,0.62
2006,taxes,air,12.258000000000001
2006,taxes,mmf,0.116
2006,taxes,otr,0.165
2006,taxes,min,2.487
2006,subsidies,agr,13.489
2006,subsidies,hou,15.256
2006,subsidies,tex,0.011
2006,subsidies,fen,2.4010000000000002
2006,subsidies,bnk,0.037
2006,subsidies,ore,2.299
2006,subsidies,sle,15.530000000000001
2006,subsidies,trn,1.6540000000000001
2006,subsidies,trk,0.051000000000000004
2006,subsidies,wtt,0.646
2006,subsidies,air,0.093
2012,taxes,ppd,0.099
2012,taxes,res,36.049
2012,taxes,com,3.249
2012,taxes,amb,1.1380000000000001
2012,taxes,fbp,25.715
2012,taxes,rec,7.2540000000000004
2012,taxes,con,1.272
2012,taxes,eec,0.092
2012,taxes,pub,1.039
2012,taxes,fbt,18.419
2012,taxes,ins,18.283
2012,taxes,tex,0.027
2012,taxes,leg,9.792
2012,taxes,uti,30.894000000000002
2012,taxes,nmp,0.099
2012,taxes,brd,29.536
2012,taxes,bnk,1.641
2012,taxes,ore,0.9400000000000001
2012,taxes,edu,0.737
2012,taxes,ote,0.083
2012,taxes,man,1.215
2012,taxes,mch,0.213
2012,taxes,dat,0.836
2012,taxes,amd,18.286
2012,taxes,oil,14.032
2012,taxes,hos,1.978
2012,taxes,rnt,9.66
2012,taxes,pla,0.153
2012,taxes,fof,0.636
2012,taxes,tsv,4.184
2012,taxes,nrs,2.244
2012,taxes,sec,0.981
2012,taxes,art,5.338
2012,taxes,mov,2.875
2012,taxes,fpd,0.031
2012,taxes,pri,0.049
2012,taxes,grd,0.767
2012,taxes,pip,0.065
2012,taxes,sle,0.526
2012,taxes,osv,10.166
2012,taxes,trn,0.791
2012,taxes,smn,0.297
2012,taxes,fmt,0.266
2012,taxes,pet,0.379
2012,taxes,mvt,34.244
2012,taxes,cep,0.303
2012,taxes,wst,1.424
2012,taxes,mot,0.151
2012,taxes,adm,4.743
2012,taxes,soc,0.679
2012,taxes,alt,0.011
2012,taxes,pmt,0.111
2012,taxes,trk,0.521
2012,taxes,gmt,34.622
2012,taxes,wtt,0.14300000000000002
2012,taxes,wpd,0.084
2012,taxes,wht,181.55
2012,taxes,wrh,0.079
2012,taxes,ott,88.18900000000001
2012,taxes,che,3.476
2012,taxes,air,14.217
2012,taxes,mmf,0.12
2012,taxes,otr,0.219
2012,taxes,min,3.6550000000000002
2012,subsidies,agr,8.759
2012,subsidies,eec,0.842
2012,subsidies,hou,16.282
2012,subsidies,tex,0.005
2012,subsidies,fen,5.124
2012,subsidies,brd,0.746
2012,subsidies,bnk,0.877
2012,subsidies,ore,1.8760000000000001
2012,subsidies,hos,2.722
2012,subsidies,sle,17.92
2012,subsidies,trn,1.848
2012,subsidies,pet,0.234
2012,subsidies,wtt,0.505
2012,subsidies,che,0.04
2012,subsidies,air,0.259
2014,taxes,ppd,0.10200000000000001
2014,taxes,res,41.112
2014,taxes,com,3.978
2014,taxes,amb,1.222
2014,taxes,fbp,24.409
2014,taxes,rec,7.889
2014,taxes,con,1.498
2014,taxes,eec,0.1
2014,taxes,pub,1.11
2014,taxes,fbt,20.242
