yr,i,fd,value
2005,com,intelprop,103.528
2005,com,fed_intelprop,11.182
2005,amb,pce,635.5360000000001
2005,fbp,changinv,3.285
2005,fbp,pce,712.359
2005,rec,pce,127.738
2005,con,fed_structures,10.679
2005,con,def_structures,7.163
2005,con,state_invest,226.667
2005,con,structures,274.329
2005,con,residential,650.089
2005,agr,changinv,0.687
2005,agr,pce,94.44500000000001
2005,eec,def_equipment,0.493
2005,eec,changinv,2.16
2005,eec,state_equipment,2.071
2005,eec,fed_equipment,0.798
2005,eec,residential,6.026
2005,eec,equipment,23.408
2005,eec,pce,62.444
2005,use,fed_structures,-2.596
2005,use,def_equipment,-0.096
2005,use,changinv,-0.5670000000000001
2005,use,def_structures,-0.004
2005,use,state_equipment,-5.166
2005,use,fed_equipment,-0.127
2005,use,state_invest,4.866
2005,use,structures,-0.8290000000000001
2005,use,residential,-1.672
2005,use,equipment,-65.013
2005,use,pce,134.583
2005,fnd,nondefense,247.477
2005,pub,changinv,0.734
2005,pub,def_intelprop,0.778
2005,pub,state_intelprop,2.17
2005,pub,intelprop,70.186
2005,pub,pce,104.557
2005,pub,fed_intelprop,1.016
2005,hou,pce,1331.489
2005,ins,residential,11.655
2005,ins,pce,272.185
2005,tex,changinv,1.109
2005,tex,state_equipment,0.024
2005,tex,fed_equipment,0.024
2005,tex,residential,2.391
2005,tex,equipment,9.606
2005,tex,pce,64.617
2005,leg,residential,49.247
2005,leg,pce,83.549
2005,fen,pce,8.644
2005,uti,pce,217.654
2005,nmp,changinv,1.6280000000000001
2005,nmp,pce,20.397000000000002
2005,brd,equipment,6.845
2005,brd,intelprop,19.43
2005,brd,pce,212.892
2005,bnk,pce,170.603
2005,ore,structures,9.626
2005,ore,residential,119.648
2005,ore,pce,2.563
2005,edu,pce,215.365
2005,ote,def_equipment,24.208000000000002
2005,ote,changinv,3.482
2005,ote,state_equipment,1.004
2005,ote,fed_equipment,6.633
2005,ote,equipment,37.046
2005,ote,pce,33.318
2005,mch,def_equipment,1.05
2005,mch,changinv,6.569
2005,mch,state_equipment,8.129
2005,mch,fed_equipment,0.376
2005,mch,equipment,214.09
2005,mch,pce,17.357
2005,dat,def_intelprop,0.365
2005,dat,state_intelprop,1.1260000000000001
2005,dat,intelprop,11.14
2005,dat,pce,7.4350000000000005
2005,dat,fed_intelprop,0.353
2005,amd,pce,85.94800000000001
