yr,va,j,value
2009,othtax,wpd,0.634
2009,othtax,wht,10.555
2009,othtax,wrh,0.601
2009,othtax,ott,10.554
2009,othtax,che,10.761000000000001
2009,othtax,air,3.229
2009,othtax,mmf,1.577
2009,othtax,otr,2.024
2009,othtax,min,2.049
2009,surplus,ppd,28.922
2009,surplus,res,60.065
2009,surplus,com,37.813
2009,surplus,amb,118.186
2009,surplus,fbp,122.416
2009,surplus,rec,13.157
2009,surplus,con,189.947
2009,surplus,agr,80.443
2009,surplus,eec,21.271
2009,surplus,fnd,83.69200000000001
2009,surplus,pub,92.142
2009,surplus,hou,1244.1480000000001
2009,surplus,fbt,31.77
2009,surplus,ins,156.118
2009,surplus,tex,3.5620000000000003
2009,surplus,leg,94.21000000000001
2009,surplus,fen,7.424
2009,surplus,uti,136.27
2009,surplus,nmp,14.776
2009,surplus,brd,230.73000000000002
2009,surplus,bnk,198.084
2009,surplus,ore,207.99
2009,surplus,edu,40.783
2009,surplus,ote,48.222
2009,surplus,man,28.746000000000002
2009,surplus,mch,41.312
2009,surplus,dat,54.344
2009,surplus,amd,28.264
2009,surplus,oil,123.209
2009,surplus,hos,53.989000000000004
2009,surplus,rnt,121.292
2009,surplus,pla,24.482
2009,surplus,fof,9.02
2009,surplus,fin,14.386000000000001
2009,surplus,tsv,207.20600000000002
2009,surplus,nrs,7.178
2009,surplus,sec,6.269
2009,surplus,art,37.693
2009,surplus,mov,49.198
2009,surplus,fpd,4.694
2009,surplus,slg,162.617
2009,surplus,pri,11.513
2009,surplus,grd,12.974
2009,surplus,pip,7.55
2009,surplus,sle,29.491
2009,surplus,osv,73.776
2009,surplus,trn,14.831
2009,surplus,smn,16.922
2009,surplus,fmt,37.212
2009,surplus,pet,91.388
2009,surplus,mvt,21.441
2009,surplus,cep,97.767
2009,surplus,wst,14.375
2009,surplus,mot,-3.103
2009,surplus,adm,99.525
2009,surplus,soc,12.849
2009,surplus,alt,0.97
2009,surplus,pmt,13.097
2009,surplus,trk,38.014
2009,surplus,fdd,143.472
2009,surplus,gmt,13.948
2009,surplus,wtt,9.458
2009,surplus,wpd,4.192
2009,surplus,wht,270.932
2009,surplus,wrh,12.131
2009,surplus,ott,120.24900000000001
2009,surplus,che,192.747
2009,surplus,air,19.597
2009,surplus,mmf,36.239
2009,surplus,otr,22.455000000000002
2009,surplus,min,41.215
2009,compen,ppd,28.472
2009,compen,res,182.965
2009,compen,com,147.439
2009,compen,amb,381.524
2009,compen,fbp,85.503
2009,compen,rec,38.368
2009,compen,con,368.35200000000003
2009,compen,agr,25.747
2009,compen,eec,28.567
2009,compen,fnd,146.592
2009,compen,pub,82.56700000000001
2009,compen,hou,14.181000000000001
2009,compen,fbt,79.294
2009,compen,ins,187.76
2009,compen,tex,10.873000000000001
2009,compen,leg,109.776
2009,compen,fen,57.753
2009,compen,uti,66.83200000000001
2009,compen,nmp,22.709
2009,compen,brd,112.123
2009,compen,bnk,184.99
2009,compen,ore,61.592
2009,compen,edu,139.9
2009,compen,ote,66.796
2009,compen,man,207.948
2009,compen,mch,73.943
2009,compen,dat,29.989
2009,compen,amd,59.793
2009,compen,oil,25.867
2009,compen,hos,302.491
2009,compen,rnt,27.878
2009,compen,pla,34.491
2009,compen,fof,16.571
2009,compen,fin,0.632
2009,compen,tsv,412.233
2009,compen,nrs,104.99300000000001
2009,compen,sec,174.601
2009,compen,art,40.216
2009,compen,mov,26.824
2009,compen,fpd,17.713
2009,compen,slg,1117.909
2009,compen,pri,27.249000000000002
2009,compen,grd,14.972
2009,compen,pip,4.91
2009,compen,sle,89.371
2009,compen,osv,235.12
2009,compen,trn,18.831
2009,compen,smn,22.814
2009,compen,fmt,77.502
2009,compen,pet,16.464
2009,compen,mvt,77.994
2009,compen,cep,118.619
2009,compen,wst,21.318
2009,compen,mot,47.971000000000004
2009,compen,adm,267.837
2009,compen,soc,73.4
2009,compen,alt,8.585
2009,compen,pmt,25.597
2009,compen,trk,67.877
2009,compen,fdd,229.241
2009,compen,gmt,82.266
2009,compen,wtt,5.889
2009,compen,wpd,16.311
2009,compen,wht,405.132
2009,compen,wrh,32.367
2009,compen,ott,234.703
2009,compen,che,84.325
2009,compen,air,35.249
2009,compen,mmf,43.488
2009,compen,otr,61.006
2009,compen,min,16.014
2005,othtax,ppd,1.615
2005,othtax,res,3.366
2005,othtax,com,1.311
2005,othtax,amb,5.804
2005,othtax,fbp,5.059
2005,othtax,rec,2.187
2005,othtax,con,6.8100000000000005
2005,othtax,agr,5.345
2005,othtax,eec,1.1460000000000001
2005,othtax,pub,2.24
2005,othtax,hou,167.415
2005,othtax,fbt,2.475
2005,othtax,ins,4.63
2005,othtax,tex,0.633
2005,othtax,leg,0.973
2005,othtax,uti,19.566
2005,othtax,nmp,1.062
2005,othtax,brd,4.952
2005,othtax,bnk,12.024000000000001
2005,othtax,ore,18.773
2005,othtax,edu,4.977
2005,othtax,ote,1.853
2005,othtax,man,6.162
2005,othtax,mch,2.6750000000000003
2005,othtax,dat,1.065
2005,othtax,amd,3.743
2005,othtax,oil,13.665000000000001
2005,othtax,hos,7.662
2005,othtax,rnt,5.41
2005,othtax,pla,1.298
2005,othtax,fof,0.7000000000000001
2005,othtax,fin,0.675
2005,othtax,tsv,6.144
2005,othtax,nrs,2.274
2005,othtax,sec,3.509
2005,othtax,art,1.685
2005,othtax,mov,3.3930000000000002
2005,othtax,fpd,0.36
2005,othtax,pri,0.781
2005,othtax,grd,0.772
2005,othtax,pip,1.475
2005,othtax,osv,7.761
2005,othtax,trn,0.678
2005,othtax,smn,0.9400000000000001
2005,othtax,fmt,2.23
2005,othtax,pet,1.977
2005,othtax,mvt,2.592
2005,othtax,cep,5.933
2005,othtax,wst,1.458
2005,othtax,mot,2.65
2005,othtax,adm,2.511
2005,othtax,soc,0.755
2005,othtax,alt,0.305
2005,othtax,pmt,1.915
2005,othtax,trk,2.8040000000000003
2005,othtax,gmt,2.493
2005,othtax,wtt,0.542
2005,othtax,wpd,0.562
2005,othtax,wht,9.346
2005,othtax,wrh,0.448
2005,othtax,ott,8.817
2005,othtax,che,7.8180000000000005
2005,othtax,air,2.87
2005,othtax,mmf,1.341
2005,othtax,otr,1.863
2005,othtax,min,1.557
2005,surplus,ppd,18.666
2005,surplus,res,52.287
2005,surplus,com,17.474
2005,surplus,amb,84.375
2005,surplus,fbp,77.641
2005,surplus,rec,13.101
2005,surplus,con,256.3
2005,surplus,agr,97.994
2005,surplus,eec,12.922
2005,surplus,fnd,69.678
2005,surplus,pub,95.18900000000001
2005,surplus,hou,1049.462
2005,surplus,fbt,32.217
2005,surplus,ins,155.431
2005,surplus,tex,4.442
2005,surplus,leg,70.69800000000001
2005,surplus,fen,6.59
2005,surplus,uti,98.084
2005,surplus,nmp,19.482
2005,surplus,brd,190.529
2005,surplus,bnk,198.312
2005,surplus,ore,198.97
2005,surplus,edu,21.906
2005,surplus,ote,30.708000000000002
2005,surplus,man,21.865000000000002
2005,surplus,mch,36.126
2005,surplus,dat,33.517
2005,surplus,amd,35.352000000000004
2005,surplus,oil,117.569
2005,surplus,hos,29.461000000000002
2005,surplus,rnt,103.44
2005,surplus,pla,21.182000000000002
2005,surplus,fof,10.226
2005,surplus,fin,21.07
2005,surplus,tsv,172.93800000000002
2005,surplus,nrs,4.021
2005,surplus,sec,25.634
2005,surplus,art,28.277
2005,surplus,mov,33.14
2005,surplus,fpd,9.697000000000001
2005,surplus,slg,122.139
2005,surplus,pri,11.0
2005,surplus,grd,9.875
2005,surplus,pip,4.594
2005,surplus,sle,30.27
2005,surplus,osv,85.693
2005,surplus,trn,10.796
2005,surplus,smn,10.153
2005,surplus,fmt,38.917
2005,surplus,pet,125.54
2005,surplus,mvt,30.819
2005,surplus,cep,81.882
2005,surplus,wst,12.495000000000001
2005,surplus,mot,57.81
2005,surplus,adm,84.409
2005,surplus,soc,11.777000000000001
2005,surplus,alt,2.21
2005,surplus,pmt,23.539
2005,surplus,trk,43.58
2005,surplus,fdd,115.205
2005,surplus,gmt,15.096
2005,surplus,wtt,4.011
2005,surplus,wpd,9.212
2005,surplus,wht,213.61100000000002
2005,surplus,wrh,9.73
2005,surplus,ott,116.65
2005,surplus,che,133.972
2005,surplus,air,9.587
2005,surplus,mmf,23.438
2005,surplus,otr,28.795
2005,surplus,min,24.612000000000002
2005,compen,ppd,31.314
2005,compen,res,164.916
2005,compen,com,114.528
2005,compen,amb,306.027
2005,compen,fbp,79.944
2005,compen,rec,35.322
2005,compen,con,387.531
2005,compen,agr,22.034
2005,compen,eec,29.092000000000002
2005,compen,fnd,117.476
2005,compen,pub,74.274
2005,compen,hou,12.784
2005,compen,fbt,73.69800000000001
2005,compen,ins,172.81900000000002
2005,compen,tex,15.568
2005,compen,leg,98.602
2005,compen,fen,58.651
2005,compen,uti,56.13
2005,compen,nmp,28.194
2005,compen,brd,106.11200000000001
2005,compen,bnk,196.571
2005,compen,ore,61.292
2005,compen,edu,105.884
2005,compen,ote,57.121
2005,compen,man,185.332
2005,compen,mch,75.459
2005,compen,dat,36.653
2005,compen,amd,57.112
2005,compen,oil,17.199
2005,compen,hos,236.68200000000002
2005,compen,rnt,27.486
2005,compen,pla,40.356
2005,compen,fof,12.613
2005,compen,fin,1.687
2005,compen,tsv,340.473
2005,compen,nrs,85.377
2005,compen,sec,163.514
2005,compen,art,33.064
2005,compen,mov,24.447
2005,compen,fpd,23.605
2005,compen,slg,944.909
2005,compen,pri,32.639
2005,compen,grd,12.719
2005,compen,pip,3.767
2005,compen,sle,76.334
2005,compen,osv,209.403
2005,compen,trn,17.904
