yr,m,i,value
2017,trn,pla,5.798
2017,trn,fof,4.205
2017,trn,mov,0.135
2017,trn,fpd,13.797
2017,trn,pri,3.112
2017,trn,fmt,11.814
2017,trn,pet,27.194
2017,trn,cep,9.842
2017,trn,mot,15.601
2017,trn,alt,7.2010000000000005
2017,trn,pmt,11.624
2017,trn,wpd,7.824
2017,trn,che,33.399
2017,trn,mmf,14.219
2017,trn,min,29.586000000000002
2017,trd,ppd,43.818
2017,trd,fbp,445.958
2017,trd,agr,88.245
2017,trd,eec,103.09400000000001
2017,trd,use,114.325
2017,trd,pub,90.968
2017,trd,tex,67.941
2017,trd,nmp,44.713
2017,trd,ote,26.974
2017,trd,mch,165.90200000000002
2017,trd,oil,9.967
2017,trd,pla,94.339
2017,trd,fof,10.223
2017,trd,mov,10.036
2017,trd,fpd,82.662
2017,trd,pri,14.101
2017,trd,fmt,101.409
2017,trd,pet,132.715
2017,trd,cep,222.885
2017,trd,mot,201.357
2017,trd,alt,230.534
2017,trd,pmt,31.438000000000002
2017,trd,wpd,34.43
2017,trd,che,435.151
2017,trd,mmf,198.186
2017,trd,min,7.8
2016,trn,ppd,10.213000000000001
2016,trn,fbp,24.01
2016,trn,agr,56.660000000000004
2016,trn,eec,6.8500000000000005
2016,trn,use,30.04
2016,trn,pub,3.602
2016,trn,tex,3.58
2016,trn,nmp,22.515
2016,trn,ote,3.642
2016,trn,mch,14.284
2016,trn,oil,47.207
2016,trn,pla,5.65
2016,trn,fof,4.1530000000000005
2016,trn,mov,0.122
2016,trn,fpd,12.82
2016,trn,pri,2.832
2016,trn,fmt,11.399000000000001
2016,trn,pet,27.963
2016,trn,cep,9.293000000000001
2016,trn,mot,14.641
2016,trn,alt,6.4430000000000005
2016,trn,pmt,10.636000000000001
2016,trn,wpd,6.796
2016,trn,che,32.766
2016,trn,mmf,13.47
2016,trn,min,25.497
2016,trd,ppd,42.511
2016,trd,fbp,422.43600000000004
2016,trd,agr,83.523
2016,trd,eec,97.392
2016,trd,use,105.193
2016,trd,pub,87.273
2016,trd,tex,64.717
2016,trd,nmp,40.713
2016,trd,ote,25.319
2016,trd,mch,157.052
2016,trd,oil,8.651
2016,trd,pla,92.877
2016,trd,fof,9.175
2016,trd,mov,9.326
2016,trd,fpd,77.85300000000001
2016,trd,pri,14.553
2016,trd,fmt,93.747
2016,trd,pet,120.223
2016,trd,cep,211.459
2016,trd,mot,194.649
2016,trd,alt,228.987
2016,trd,pmt,28.596
2016,trd,wpd,31.605
2016,trd,che,421.172
2016,trd,mmf,188.276
2016,trd,min,6.699
2015,trn,ppd,10.485
2015,trn,fbp,23.878
2015,trn,agr,54.758
2015,trn,eec,6.937
2015,trn,use,29.626
2015,trn,pub,3.516
2015,trn,tex,3.632
2015,trn,nmp,22.385
2015,trn,ote,3.842
2015,trn,mch,15.43
2015,trn,oil,49.099000000000004
2015,trn,pla,5.829
2015,trn,fof,3.837
2015,trn,mov,0.125
2015,trn,fpd,12.896
2015,trn,pri,2.699
2015,trn,fmt,11.995000000000001
2015,trn,pet,29.193
2015,trn,cep,9.514
2015,trn,mot,14.631
2015,trn,alt,6.679
2015,trn,pmt,11.936
2015,trn,wpd,6.51
2015,trn,che,33.605000000000004
2015,trn,mmf,13.809000000000001
2015,trn,min,30.851
2015,trd,ppd,42.416000000000004
2015,trd,fbp,418.342
2015,trd,agr,83.69
2015,trd,eec,94.511
2015,trd,use,101.038
2015,trd,pub,82.999
2015,trd,tex,63.268
2015,trd,nmp,37.755
2015,trd,ote,24.665
2015,trd,mch,160.401
2015,trd,oil,9.798
2015,trd,pla,91.888
2015,trd,fof,9.014
2015,trd,mov,9.079
2015,trd,fpd,76.765
2015,trd,pri,13.662
2015,trd,fmt,91.625
2015,trd,pet,128.803
2015,trd,cep,215.056
2015,trd,mot,187.385
2015,trd,alt,223.812
2015,trd,pmt,31.985
2015,trd,wpd,29.532
2015,trd,che,416.195
2015,trd,mmf,185.334
2015,trd,min,6.946
1998,trn,ppd,5.571
1998,trn,fbp,10.113
1998,trn,agr,19.914
1998,trn,eec,3.532
1998,trn,use,20.402
1998,trn,pub,2.491
1998,trn,tex,2.4050000000000002
1998,trn,nmp,9.729000000000001
1998,trn,ote,1.481
1998,trn,mch,5.425
1998,trn,oil,22.518
1998,trn,pla,3.539
1998,trn,fof,2.19
1998,trn,mov,0.146
1998,trn,fpd,8.426
1998,trn,pri,1.786
1998,trn,fmt,4.226
1998,trn,pet,8.687
1998,trn,cep,6.094
1998,trn,mot,8.073
1998,trn,alt,4.612
1998,trn,pmt,5.314
1998,trn,wpd,3.872
1998,trn,che,15.893
1998,trn,mmf,9.084
1998,trn,min,14.279
