yr,i,fd,value
2012,fnd,fed_structures,-9.990909096823597e-9
2014,fnd,fed_structures,-9.990909094559367e-9
2013,fnd,fed_structures,-9.990909095765362e-9
1999,fnd,fed_structures,-9.974941054391247e-9
2002,fnd,fed_structures,-9.990909124714462e-9
2017,fnd,fed_structures,-9.99090909662939e-9
2016,fnd,fed_structures,-9.974940970381434e-9
2015,fnd,fed_structures,-9.974940964386143e-9
1998,fnd,fed_structures,-9.974941062160311e-9
2004,fnd,fed_structures,-9.974941030909433e-9
2000,fnd,fed_structures,-9.990909120289227e-9
1997,fnd,fed_structures,-9.974941059624837e-9
2007,fnd,fed_structures,-9.974941015965088e-9
2010,fnd,fed_structures,-9.974941007413164e-9
2003,fnd,fed_structures,-9.990909115402774e-9
2011,fnd,fed_structures,-9.974940990171982e-9
2001,fnd,fed_structures,-9.990909126443964e-9
2008,pub,fed_structures,-9.974940748639846e-9
2009,pub,fed_structures,-9.974941357527757e-9
2005,pub,fed_structures,-9.974940805442239e-9
2006,pub,fed_structures,-9.974940801761995e-9
2012,pub,fed_structures,-9.990909020207785e-9
2014,pub,fed_structures,-9.990909019338097e-9
2013,pub,fed_structures,-9.990909018630743e-9
1999,pub,fed_structures,-9.974940701796416e-9
2002,pub,fed_structures,-9.990909033058769e-9
2017,pub,fed_structures,-9.990909009705992e-9
2016,pub,fed_structures,-9.974940772828403e-9
2015,pub,fed_structures,-9.974940742664845e-9
1998,pub,fed_structures,-9.974940773320442e-9
2004,pub,fed_structures,-9.974940801143014e-9
2000,pub,fed_structures,-9.990908970239927e-9
1997,pub,fed_structures,-9.974940767880313e-9
2007,pub,fed_structures,-9.974940760883894e-9
2010,pub,fed_structures,-9.974940779601543e-9
2003,pub,fed_structures,-9.990909031021026e-9
2011,pub,fed_structures,-9.974940747189487e-9
2001,pub,fed_structures,-9.990909046991089e-9
2008,hou,fed_structures,-9.974940965885797e-9
2009,hou,fed_structures,-9.974940978719948e-9
2005,hou,fed_structures,-9.97494097533234e-9
2006,hou,fed_structures,-9.974940971294858e-9
2012,hou,fed_structures,-9.990909095269939e-9
2014,hou,fed_structures,-9.990909095162324e-9
2013,hou,fed_structures,-9.990909095190872e-9
1999,hou,fed_structures,-9.974940974976462e-9
2002,hou,fed_structures,-9.990909094106514e-9
2017,hou,fed_structures,-9.990909094980922e-9
2016,hou,fed_structures,-9.974940975485354e-9
2015,hou,fed_structures,-9.974940974560847e-9
1998,hou,fed_structures,-9.974940973403621e-9
2004,hou,fed_structures,-9.974940973026826e-9
2000,hou,fed_structures,-9.990909094113181e-9
1997,hou,fed_structures,-9.974940973103803e-9
2007,hou,fed_structures,-9.974940972026723e-9
2010,hou,fed_structures,-9.974940975528734e-9
2003,hou,fed_structures,-9.990909094550355e-9
2011,hou,fed_structures,-9.974940973098858e-9
2001,hou,fed_structures,-9.990909098671274e-9
2008,fbt,fed_structures,0.0
2009,fbt,fed_structures,0.0
2005,fbt,fed_structures,0.0
2006,fbt,fed_structures,0.0
2012,fbt,fed_structures,0.0
2014,fbt,fed_structures,0.0
2013,fbt,fed_structures,0.0
1999,fbt,fed_structures,0.0
2002,fbt,fed_structures,0.0
2017,fbt,fed_structures,0.0
2016,fbt,fed_structures,0.0
2015,fbt,fed_structures,0.0
1998,fbt,fed_structures,0.0
2004,fbt,fed_structures,0.0
2000,fbt,fed_structures,0.0
1997,fbt,fed_structures,0.0
2007,fbt,fed_structures,0.0
2010,fbt,fed_structures,0.0
2003,fbt,fed_structures,0.0
2011,fbt,fed_structures,0.0
2001,fbt,fed_structures,0.0
2008,ins,fed_structures,-9.974940720323415e-9
2009,ins,fed_structures,-9.974941139179437e-9
2005,ins,fed_structures,-9.97494104784581e-9
2006,ins,fed_structures,-9.974941048006695e-9
2012,ins,fed_structures,-9.990909124427652e-9
2014,ins,fed_structures,-9.990909126750221e-9
2013,ins,fed_structures,-9.99090912206303e-9
1999,ins,fed_structures,-9.974941019593645e-9
2002,ins,fed_structures,-9.990909115258795e-9
2017,ins,fed_structures,-9.990909129009117e-9
2016,ins,fed_structures,-9.97494105988764e-9
2015,ins,fed_structures,-9.97494104310269e-9
1998,ins,fed_structures,-9.974941027638246e-9
2004,ins,fed_structures,-9.974941058499446e-9
2000,ins,fed_structures,-9.990909095071899e-9
1997,ins,fed_structures,-9.974941027023616e-9
2007,ins,fed_structures,-9.974940969975959e-9
2010,ins,fed_structures,-9.97494107079145e-9
2003,ins,fed_structures,-9.990909121049494e-9
2011,ins,fed_structures,-9.974940965058959e-9
2001,ins,fed_structures,-9.990909124269826e-9
2008,tex,fed_structures,-9.974940964695426e-9
2009,tex,fed_structures,-9.974941800800992e-9
2005,tex,fed_structures,-9.97494056736831e-9
2006,tex,fed_structures,-9.974940554731584e-9
2012,tex,fed_structures,-9.99090895617236e-9
2014,tex,fed_structures,-9.990908951805259e-9
2013,tex,fed_structures,-9.990908953309463e-9
1999,tex,fed_structures,-9.97494049236634e-9
2002,tex,fed_structures,-9.990908954863685e-9
2017,tex,fed_structures,-9.990908933384774e-9
2016,tex,fed_structures,-9.97494054192975e-9
2015,tex,fed_structures,-9.974940525303022e-9
1998,tex,fed_structures,-9.974940513372145e-9
2004,tex,fed_structures,-9.974940539950321e-9
2000,tex,fed_structures,-9.990908936377195e-9
1997,tex,fed_structures,-9.97494050457819e-9
2007,tex,fed_structures,-9.97494049728942e-9
2010,tex,fed_structures,-9.97494056692522e-9
2003,tex,fed_structures,-9.990908937690346e-9
2011,tex,fed_structures,-9.97494053851256e-9
2001,tex,fed_structures,-9.990909078286599e-9
2008,leg,fed_structures,-9.974940618462785e-9
