yr,i,value
1997,rnt,1.0
2007,rnt,1.0
2010,rnt,1.0
2003,rnt,1.0
2011,rnt,1.0
2001,rnt,1.0
2008,pla,0.902
2009,pla,0.798
2005,pla,0.705
2006,pla,0.754
2012,pla,1.374
2014,pla,1.354
2013,pla,1.281
1999,pla,0.343
2002,pla,0.428
2017,pla,1.491
2016,pla,1.379
2015,pla,1.32
1998,pla,0.325
2004,pla,0.602
2000,pla,0.38
1997,pla,0.296
2007,pla,0.847
2010,pla,1.294
2003,pla,0.497
2011,pla,1.3880000000000001
2001,pla,0.404
2008,fof,0.005
2009,fof,0.005
2005,fof,0.004
2006,fof,0.004
2012,fof,0.007
2014,fof,0.009000000000000001
2013,fof,0.009000000000000001
1999,fof,0.004
2002,fof,0.003
2017,fof,0.01
2016,fof,0.009000000000000001
2015,fof,0.009000000000000001
1998,fof,0.005
2004,fof,0.004
2000,fof,0.005
1997,fof,0.006
2007,fof,0.005
2010,fof,0.005
2003,fof,0.003
2011,fof,0.007
2001,fof,0.006
2008,fin,1.0
2009,fin,1.0
2005,fin,1.0
2006,fin,1.0
2012,fin,1.0
2014,fin,1.0
2013,fin,1.0
1999,fin,1.0
2002,fin,1.0
2017,fin,1.0
2016,fin,1.0
2015,fin,1.0
1998,fin,1.0
2004,fin,1.0
2000,fin,1.0
1997,fin,1.0
2007,fin,1.0
2010,fin,1.0
2003,fin,1.0
2011,fin,1.0
2001,fin,1.0
2008,tsv,0.0
2009,tsv,0.0
2005,tsv,0.0
2006,tsv,0.0
2012,tsv,0.0
2014,tsv,0.0
2013,tsv,0.0
1999,tsv,0.0
2002,tsv,0.0
2017,tsv,0.0
2016,tsv,0.0
2015,tsv,0.0
1998,tsv,0.0
2004,tsv,0.0
2000,tsv,0.0
1997,tsv,0.0
2007,tsv,0.0
2010,tsv,0.0
2003,tsv,0.0
2011,tsv,0.0
2001,tsv,0.0
2008,nrs,1.0
2009,nrs,1.0
2005,nrs,1.0
2006,nrs,1.0
2012,nrs,1.0
2014,nrs,1.0
2013,nrs,1.0
1999,nrs,1.0
2002,nrs,1.0
2017,nrs,1.0
2016,nrs,1.0
2015,nrs,1.0
1998,nrs,1.0
2004,nrs,1.0
2000,nrs,1.0
1997,nrs,1.0
2007,nrs,1.0
2010,nrs,1.0
2003,nrs,1.0
2011,nrs,1.0
2001,nrs,1.0
2008,sec,0.0
2009,sec,0.0
2005,sec,0.0
2006,sec,0.0
2012,sec,0.0
2014,sec,0.0
2013,sec,0.0
1999,sec,0.0
2002,sec,0.0
2017,sec,0.0
2016,sec,0.0
2015,sec,0.0
1998,sec,0.0
2004,sec,0.0
2000,sec,0.0
1997,sec,0.0
2007,sec,0.0
2010,sec,0.0
2003,sec,0.0
2011,sec,0.0
2001,sec,0.0
2008,art,0.0
2009,art,0.0
2005,art,0.0
2006,art,0.0
2012,art,0.0
2014,art,0.0
2013,art,0.0
1999,art,0.0
2002,art,0.0
2017,art,0.0
