yr,m,i,value
2015,trd,fbt,0.0
1998,trd,fbt,0.0
2004,trd,fbt,0.0
2000,trd,fbt,0.0
1997,trd,fbt,0.0
2007,trd,fbt,0.0
2010,trd,fbt,0.0
2003,trd,fbt,0.0
2011,trd,fbt,0.0
2001,trd,fbt,0.0
2008,trn,ins,-9.974935234188353e-9
2009,trn,ins,-9.974935727873284e-9
2005,trn,ins,-9.974934777824144e-9
2006,trn,ins,-9.974934818169968e-9
2012,trn,ins,-9.990907390976485e-9
2014,trn,ins,-9.990907496773068e-9
2013,trn,ins,-9.990907553473496e-9
1999,trn,ins,-9.97493446492453e-9
2002,trn,ins,-9.990906725212437e-9
2017,trn,ins,-9.990907435056664e-9
2016,trn,ins,-9.974936409398017e-9
2015,trn,ins,-9.974936420249042e-9
1998,trn,ins,-9.974935258567813e-9
2004,trn,ins,-9.974934468418495e-9
2000,trn,ins,-9.990906949350181e-9
1997,trn,ins,-9.974936486269721e-9
2007,trn,ins,-9.974934629566387e-9
2010,trn,ins,-9.9749349985466e-9
2003,trn,ins,-9.990906827430194e-9
2011,trn,ins,-9.974935058747303e-9
2001,trn,ins,-9.990906899155824e-9
2008,trd,ins,-9.974939682495717e-9
2009,trd,ins,-9.97494004892502e-9
2005,trd,ins,-9.974939284472424e-9
2006,trd,ins,-9.974939229660552e-9
2012,trd,ins,-9.99090848827136e-9
2014,trd,ins,-9.990908469878571e-9
2013,trd,ins,-9.990908484791413e-9
1999,trd,ins,-9.974938837842215e-9
2002,trd,ins,-9.990908391422498e-9
2017,trd,ins,-9.990908397814072e-9
2016,trd,ins,-9.974939113839247e-9
2015,trd,ins,-9.97493913432799e-9
1998,trd,ins,-9.974938880656258e-9
2004,trd,ins,-9.974939147255416e-9
2000,trd,ins,-9.990908391363529e-9
1997,trd,ins,-9.974938807700248e-9
2007,trd,ins,-9.974939152457351e-9
2010,trd,ins,-9.974939244770296e-9
2003,trd,ins,-9.990908426191555e-9
2011,trd,ins,-9.974939315213308e-9
2001,trd,ins,-9.990908552133138e-9
2008,trn,tex,3.9722148649792333
2009,trn,tex,2.91679418955263
2005,trn,tex,3.7337303373716844
2006,trn,tex,3.654857220411312
2012,trn,tex,4.1808021284625605
2014,trn,tex,4.556006448250462
2013,trn,tex,4.262861693926206
1999,trn,tex,2.5738545962851345
2002,trn,tex,3.3460885147417163
2017,trn,tex,4.355544638425444
2016,trn,tex,3.8360779821332094
2015,trn,tex,3.8915956135957424
1998,trn,tex,2.638091328335062
2004,trn,tex,3.542510131503658
2000,trn,tex,1.6125750868998387
1997,trn,tex,3.0774734913141204
2007,trn,tex,3.8036153629892167
2010,trn,tex,3.414873304904036
2003,trn,tex,3.484512141423601
2011,trn,tex,3.9124746382250035
2001,trn,tex,3.541896733640289
2008,trd,tex,52.319095120072745
2009,trd,tex,46.80339932266506
2005,trd,tex,54.503329735543716
2006,trd,tex,55.26632876968171
2012,trd,tex,55.59188405428884
2014,trd,tex,62.277526815446684
2013,trd,tex,58.47181904483689
1999,trd,tex,39.15588234079727
2002,trd,tex,44.06491157927701
2017,trd,tex,69.16460416902312
2016,trd,tex,65.85489000363224
2015,trd,tex,64.36472760185075
1998,trd,tex,36.165756625189125
2004,trd,tex,52.02975449774469
2000,trd,tex,42.00243598300019
1997,trd,tex,35.272284750064735
2007,trd,tex,55.50761151073821
2010,trd,tex,49.407914414171486
2003,trd,tex,46.38997781681069
2011,trd,tex,51.58701070522381
2001,trd,tex,42.75949594918081
2008,trn,leg,-9.974935280223845e-9
2009,trn,leg,-9.974935716927607e-9
2005,trn,leg,-9.974934787870729e-9
2006,trn,leg,-9.974934826465163e-9
2012,trn,leg,-9.990907391341312e-9
2014,trn,leg,-9.99090749942129e-9
2013,trn,leg,-9.990907549952281e-9
1999,trn,leg,-9.974934503101154e-9
2002,trn,leg,-9.990906732237563e-9
2017,trn,leg,-9.990907437726538e-9
2016,trn,leg,-9.97493641783881e-9
2015,trn,leg,-9.97493642602636e-9
1998,trn,leg,-9.97493525943176e-9
2004,trn,leg,-9.974934481371681e-9
2000,trn,leg,-9.990906991092554e-9
1997,trn,leg,-9.974936489928179e-9
2007,trn,leg,-9.974934625191606e-9
2010,trn,leg,-9.97493501838945e-9
2003,trn,leg,-9.990906831050573e-9
2011,trn,leg,-9.974935069152836e-9
2001,trn,leg,-9.99090691095583e-9
2008,trd,leg,-9.97493972851487e-9
2009,trd,leg,-9.974940037983117e-9
2005,trd,leg,-9.974939294515396e-9
2006,trd,leg,-9.974939237952827e-9
2012,trd,leg,-9.990908488636097e-9
2014,trd,leg,-9.990908472526226e-9
2013,trd,leg,-9.99090848127092e-9
1999,trd,leg,-9.974938876005519e-9
2002,trd,leg,-9.990908398445048e-9
2017,trd,leg,-9.99090840048338e-9
2016,trd,leg,-9.974939122278218e-9
2015,trd,leg,-9.974939140104056e-9
1998,trd,leg,-9.974938881519957e-9
2004,trd,leg,-9.974939160203769e-9
2000,trd,leg,-9.990908433092663e-9
1997,trd,leg,-9.974938811358029e-9
