yr,i,j,value
2009,fen,ppd,0.0
2005,fen,ppd,0.0
2006,fen,ppd,0.0
2012,fen,ppd,0.0
2014,fen,ppd,0.0
2013,fen,ppd,0.0
1999,fen,ppd,0.0
2002,fen,ppd,0.0
2017,fen,ppd,0.0
2016,fen,ppd,0.0
2015,fen,ppd,0.0
1998,fen,ppd,0.0
2004,fen,ppd,0.0
2000,fen,ppd,0.0
1997,fen,ppd,0.0
2007,fen,ppd,0.0
2010,fen,ppd,0.0
2003,fen,ppd,0.0
2011,fen,ppd,0.0
2001,fen,ppd,0.0
2008,uti,ppd,8.891602826635701
2009,uti,ppd,5.354508833955206
2005,uti,ppd,6.259543193528565
2006,uti,ppd,5.125574189569511
2012,uti,ppd,6.2456298894791
2014,uti,ppd,6.520113691280721
2013,uti,ppd,5.926535494290913
1999,uti,ppd,4.584817297789711
2002,uti,ppd,5.656067010604979
2017,uti,ppd,4.3292893246413255
2016,uti,ppd,4.7166929002707665
2015,uti,ppd,5.457771503854579
1998,uti,ppd,3.941157823598752
2004,uti,ppd,4.830296800812697
2000,uti,ppd,6.284158007555185
1997,uti,ppd,3.465639921478293
2007,uti,ppd,6.54502352385895
2010,uti,ppd,5.989978563426529
2003,uti,ppd,5.533628174269676
2011,uti,ppd,6.004397802428538
2001,uti,ppd,8.929485643492818
2008,nmp,ppd,0.4839172073024556
2009,nmp,ppd,0.4066287947930176
2005,nmp,ppd,0.3108973300079015
2006,nmp,ppd,0.33704743673424775
2012,nmp,ppd,0.6389404710505414
2014,nmp,ppd,0.5677368310295487
2013,nmp,ppd,0.6090738741027991
1999,nmp,ppd,0.30457617185398494
2002,nmp,ppd,0.2538752718347138
2017,nmp,ppd,0.5471505893020219
2016,nmp,ppd,0.5880716469772966
2015,nmp,ppd,0.634465543113511
1998,nmp,ppd,0.28459297017477336
2004,nmp,ppd,0.28303300909804363
2000,nmp,ppd,0.28872591185133456
1997,nmp,ppd,0.2640896354689571
2007,nmp,ppd,0.4577958258865744
2010,nmp,ppd,0.497995940874877
2003,nmp,ppd,0.2409573239194207
2011,nmp,ppd,0.5500916791156337
2001,nmp,ppd,0.2555255683727464
2008,brd,ppd,0.3660495747549713
2009,brd,ppd,0.3209925828885536
2005,brd,ppd,0.41382570773566346
2006,brd,ppd,0.4153036623912431
2012,brd,ppd,0.367705741783862
2014,brd,ppd,0.34492364968225714
2013,brd,ppd,0.3521678310186392
1999,brd,ppd,0.27338210307972727
2002,brd,ppd,0.35667873615738827
2017,brd,ppd,0.26629942387736677
2016,brd,ppd,0.2755027942427985
2015,brd,ppd,0.2631960054730922
1998,brd,ppd,0.25172571812993777
2004,brd,ppd,0.33308405512440303
2000,brd,ppd,0.3154082600413999
1997,brd,ppd,0.1921634070019395
2007,brd,ppd,0.4426793056338058
2010,brd,ppd,0.2951253564954389
2003,brd,ppd,0.344179970688312
2011,brd,ppd,0.2773773997977723
2001,brd,ppd,0.36076449330429405
2008,bnk,ppd,0.4685044013740338
2009,bnk,ppd,0.4521744093528356
2005,bnk,ppd,0.511168967813268
2006,bnk,ppd,0.5466930987189398
2012,bnk,ppd,0.44057273586134815
2014,bnk,ppd,0.3672912890258871
2013,bnk,ppd,0.39779322771464765
1999,bnk,ppd,0.34675057068943477
2002,bnk,ppd,0.43451951855468585
2017,bnk,ppd,0.29849920630916055
2016,bnk,ppd,0.33075939868188137
2015,bnk,ppd,0.3215285504937774
1998,bnk,ppd,0.35671996905114034
2004,bnk,ppd,0.40967610757292067
2000,bnk,ppd,0.3582753496994021
1997,bnk,ppd,0.28899740153930464
2007,bnk,ppd,0.5163169553643991
2010,bnk,ppd,0.400017271456091
2003,bnk,ppd,0.49296926656278395
2011,bnk,ppd,0.29185670005959324
2001,bnk,ppd,0.39903600253466653
2008,ore,ppd,0.5102465250028712
2009,ore,ppd,0.5782856759888709
2005,ore,ppd,0.7161595232315255
2006,ore,ppd,0.5165620814306863
2012,ore,ppd,0.8712111188663612
2014,ore,ppd,0.9218949538759472
2013,ore,ppd,0.8948980956541568
1999,ore,ppd,0.34220464186713323
2002,ore,ppd,0.8325315760264246
2017,ore,ppd,1.1177366739797334
2016,ore,ppd,0.9640962300470476
2015,ore,ppd,0.8537325152999199
1998,ore,ppd,0.43604771603909603
2004,ore,ppd,0.6613585522158631
2000,ore,ppd,0.4720647046886261
1997,ore,ppd,0.413382266002489
2007,ore,ppd,0.5051368183283699
2010,ore,ppd,0.6274075511684191
2003,ore,ppd,0.6573356396707007
2011,ore,ppd,0.669652490106596
2001,ore,ppd,0.6355694230280517
2008,edu,ppd,0.0
2009,edu,ppd,0.0
2005,edu,ppd,0.0
2006,edu,ppd,0.0
2012,edu,ppd,0.0
2014,edu,ppd,0.0
2013,edu,ppd,0.0
1999,edu,ppd,0.0
2002,edu,ppd,0.0
2017,edu,ppd,0.0
2016,edu,ppd,0.0
2015,edu,ppd,0.0
1998,edu,ppd,0.0
2004,edu,ppd,0.0
2000,edu,ppd,0.0
1997,edu,ppd,0.0
2007,edu,ppd,0.0
2010,edu,ppd,0.0
2003,edu,ppd,0.0
2011,edu,ppd,0.0
2001,edu,ppd,0.0
2008,ote,ppd,0.0
2009,ote,ppd,0.0
2005,ote,ppd,0.0
2006,ote,ppd,0.0
2012,ote,ppd,0.0
2014,ote,ppd,0.0
2013,ote,ppd,0.0
1999,ote,ppd,0.0
2002,ote,ppd,0.0
2017,ote,ppd,0.0
2016,ote,ppd,0.0
2015,ote,ppd,0.0
1998,ote,ppd,0.0
2004,ote,ppd,0.0
2000,ote,ppd,0.0
1997,ote,ppd,0.0
2007,ote,ppd,0.0
2010,ote,ppd,0.0
2003,ote,ppd,0.0
2011,ote,ppd,0.0
2001,ote,ppd,0.0
2008,man,ppd,0.8670581171566051
2009,man,ppd,1.3821191258071208
2005,man,ppd,1.358766433711494
2006,man,ppd,2.3621594965763646
2012,man,ppd,2.306287162723618
2014,man,ppd,2.175374517784956
2013,man,ppd,2.1790793971841316
1999,man,ppd,1.7865572971798644
2002,man,ppd,1.2121178397144303
2017,man,ppd,3.1034045702457136
2016,man,ppd,2.6993753751689034
2015,man,ppd,2.641947292535024
1998,man,ppd,1.7551994333783543
2004,man,ppd,1.2090713443953427
2000,man,ppd,1.9264385138151385
1997,man,ppd,1.5624875219691698
2007,man,ppd,1.5857869865977963
2010,man,ppd,2.299354085440987
2003,man,ppd,1.925752157142148
2011,man,ppd,2.2453521636906375
2001,man,ppd,1.7816869650376268
2008,mch,ppd,1.0756112987516402
2009,mch,ppd,0.8697788611715768
2005,mch,ppd,0.8381664996287123
2006,mch,ppd,0.917378870884989
2012,mch,ppd,1.2574558412327195
2014,mch,ppd,1.0574476238380113
2013,mch,ppd,1.0420347463005557
1999,mch,ppd,0.9190028761348598
2002,mch,ppd,0.6738008574953265
2017,mch,ppd,1.0769685470106583
2016,mch,ppd,1.1104750539948645
2015,mch,ppd,1.172420191744372
1998,mch,ppd,1.026467746181152
2004,mch,ppd,0.7123603056086971
2000,mch,ppd,0.9560389507704635
1997,mch,ppd,0.924920167933651
2007,mch,ppd,1.1540635736321943
2010,mch,ppd,0.9157278999399712
2003,mch,ppd,0.7150752439554359
2011,mch,ppd,1.0334646688252527
2001,mch,ppd,1.045469779782331
2008,dat,ppd,0.26185332575879244
2009,dat,ppd,0.21078333520573994
2005,dat,ppd,0.2992496702790793
2006,dat,ppd,0.34626831034137795
2012,dat,ppd,0.3028971798599144
2014,dat,ppd,0.34839751378017686
2013,dat,ppd,0.32555312045230134
1999,dat,ppd,0.32911662473244335
2002,dat,ppd,0.31975932184844774
2017,dat,ppd,0.6448292542624482
2016,dat,ppd,0.3585581961348934
2015,dat,ppd,0.31883635462789084
1998,dat,ppd,0.30667120112238805
2004,dat,ppd,0.26240388566936024
2000,dat,ppd,0.3427297257481017
1997,dat,ppd,0.27554005724479075
2007,dat,ppd,0.3034130047427061
2010,dat,ppd,0.24246580907190582
2003,dat,ppd,0.32926582292759893
2011,dat,ppd,0.2063939355413092
2001,dat,ppd,0.3297757395306846
2008,amd,ppd,0.14823651480684458
2009,amd,ppd,0.10271314047264904
2005,amd,ppd,0.1908679196494479
2006,amd,ppd,0.1856339969781075
2012,amd,ppd,0.16021365483545955
2014,amd,ppd,0.17085712466614386
2013,amd,ppd,0.15942080087729577
1999,amd,ppd,0.22477911545284243
2002,amd,ppd,0.2260210995062432
2017,amd,ppd,0.14556233642910058
2016,amd,ppd,0.16678948043165925
2015,amd,ppd,0.150987492536092
1998,amd,ppd,0.24492117003048952
2004,amd,ppd,0.16960629253554285
2000,amd,ppd,0.25157395158177576
1997,amd,ppd,0.22897232356618646
2007,amd,ppd,0.16557658404407272
2010,amd,ppd,0.10843613794890414
2003,amd,ppd,0.20820549188654477
2011,amd,ppd,0.08973160607254242
2001,amd,ppd,0.22455895779672758
2008,oil,ppd,0.01829146662758523
2009,oil,ppd,0.006123366975665187
2005,oil,ppd,0.013204092871438899
2006,oil,ppd,0.013197709608856403
2012,oil,ppd,0.002029884937033795
2014,oil,ppd,0.0
2013,oil,ppd,0.0010132633313055563
1999,oil,ppd,0.002066461036419759
2002,oil,ppd,0.004066929276892634
2017,oil,ppd,0.0
2016,oil,ppd,0.0
2015,oil,ppd,0.0
1998,oil,ppd,0.004142736255032756
2004,oil,ppd,0.009210926128095633
2000,oil,ppd,0.002048612971204794
1997,oil,ppd,0.004134981901534337
2007,oil,ppd,0.014229133317860531
2010,oil,ppd,0.0040468543741956865
2003,oil,ppd,0.009216563853007242
2011,oil,ppd,0.003043039278137649
2001,oil,ppd,0.002055030201017511
2008,hos,ppd,0.0
2009,hos,ppd,0.0
2005,hos,ppd,0.0
2006,hos,ppd,0.0
2012,hos,ppd,0.0
2014,hos,ppd,0.0
2013,hos,ppd,0.0
1999,hos,ppd,0.0
2002,hos,ppd,0.0
2017,hos,ppd,0.0
2016,hos,ppd,0.0
2015,hos,ppd,0.0
1998,hos,ppd,0.0
2004,hos,ppd,0.0
2000,hos,ppd,0.0
1997,hos,ppd,0.0
2007,hos,ppd,0.0
2010,hos,ppd,0.0
2003,hos,ppd,0.0
2011,hos,ppd,0.0
2001,hos,ppd,0.0
2008,rnt,ppd,1.0640360390484631
2009,rnt,ppd,0.9221944598451991
2005,rnt,ppd,1.0866337036515588
2006,rnt,ppd,1.1053991268404468
2012,rnt,ppd,0.9955797490637498
2014,rnt,ppd,1.0505772851841384
2013,rnt,ppd,1.0404317905780027
1999,rnt,ppd,0.8660344853545235
2002,rnt,ppd,1.246290848628628
2017,rnt,ppd,0.8198724435486203
2016,rnt,ppd,0.9080804113068154
2015,rnt,ppd,0.890469558358711
1998,rnt,ppd,1.0960136284581687
2004,rnt,ppd,0.9649589096721686
2000,rnt,ppd,1.0224167050533528
1997,rnt,ppd,1.0029359644207032
2007,rnt,ppd,1.0864031254345647
2010,rnt,ppd,0.9338708094985669
2003,rnt,ppd,1.2178539735307927
2011,rnt,ppd,0.8165345289277857
2001,rnt,ppd,1.1573507544310149
2008,pla,ppd,3.3780041265264433
2009,pla,ppd,2.699482910120619
2005,pla,ppd,2.4782214216240295
2006,pla,ppd,2.554931578798681
2012,pla,ppd,4.123735103982944
2014,pla,ppd,3.8609465200684068
2013,pla,ppd,3.893857838705166
1999,pla,ppd,2.0053024528015087
2002,pla,ppd,2.2998792296422557
2017,pla,ppd,3.5644919258244436
2016,pla,ppd,3.908093620942981
2015,pla,ppd,3.900430547765591
1998,pla,ppd,2.0744964468410836
2004,pla,ppd,2.24120765185607
2000,pla,ppd,1.994562144389911
1997,pla,ppd,2.0146751190160117
