yr,va,j,value
2016,surplus,rec,21.250620527723658
2015,surplus,rec,20.489015262009985
1998,surplus,rec,13.489628915328478
2004,surplus,rec,12.139397469638729
2000,surplus,rec,15.558419798345364
1997,surplus,rec,17.09687083102005
2007,surplus,rec,15.429463850001152
2010,surplus,rec,17.196907773810285
2003,surplus,rec,10.600219270941732
2011,surplus,rec,17.12732150142353
2001,surplus,rec,9.707662553988621
2008,compen,rec,39.8928145238218
2009,compen,rec,38.71676585685599
2005,compen,rec,35.47044768205581
2006,compen,rec,36.577986500992644
2012,compen,rec,42.26725442610773
2014,compen,rec,47.38653365449548
2013,compen,rec,43.88487256474273
1999,compen,rec,26.103993653681727
2002,compen,rec,31.772362838398276
2017,compen,rec,54.042283394809054
2016,compen,rec,52.09868555299381
2015,compen,rec,48.87282500955195
1998,compen,rec,24.333839582396788
2004,compen,rec,34.51442528978826
2000,compen,rec,28.839875614998387
1997,compen,rec,21.79735551958634
2007,compen,rec,38.29636050179824
2010,compen,rec,39.051437053097224
2003,compen,rec,32.95449142104926
2011,compen,rec,39.993292753608934
2001,compen,rec,30.179344904238306
2008,othtax,con,0.0
2009,othtax,con,0.0
2005,othtax,con,0.0
2006,othtax,con,0.0
2012,othtax,con,0.0
2014,othtax,con,0.0
2013,othtax,con,0.0
1999,othtax,con,0.0
2002,othtax,con,0.0
2017,othtax,con,0.0
2016,othtax,con,0.0
2015,othtax,con,0.0
1998,othtax,con,0.0
2004,othtax,con,0.0
2000,othtax,con,0.0
1997,othtax,con,0.0
2007,othtax,con,0.0
2010,othtax,con,0.0
2003,othtax,con,0.0
2011,othtax,con,0.0
2001,othtax,con,0.0
2008,surplus,con,207.30914097192232
2009,surplus,con,191.63904319056053
2005,surplus,con,256.4621785521065
2006,surplus,con,267.6379431759427
2012,surplus,con,180.41240419530158
2014,surplus,con,206.48000465677686
2013,surplus,con,192.0080999506714
1999,surplus,con,134.62154104808806
2002,surplus,con,160.48854353358456
2017,surplus,con,264.2525019769305
2016,surplus,con,250.5042477257871
2015,surplus,con,228.41622766379007
1998,surplus,con,122.54050020535752
2004,surplus,con,219.65459658661734
2000,surplus,con,148.4278376061911
1997,surplus,con,107.24285183206166
2007,surplus,con,266.99498925431755
2010,surplus,con,174.4412015697218
2003,surplus,con,183.31368921575955
2011,surplus,con,170.13601413824122
2001,surplus,con,155.9527463892733
2008,compen,con,434.39671215592614
2009,compen,con,371.63327051935636
2005,compen,con,387.77621738197155
2006,compen,con,421.4665597695112
2012,compen,con,366.7096734411932
2014,compen,con,423.23260647591616
2013,compen,con,388.69409483029534
1999,compen,con,279.26151335139866
2002,compen,con,327.3262625286569
2017,compen,con,517.3842455066663
2016,compen,con,486.6977160862738
2015,compen,con,459.0151904948822
1998,compen,con,254.09666298396655
2004,compen,con,358.2199061632393
2000,compen,con,308.3475221835104
1997,compen,con,229.7341835865573
2007,compen,con,439.92548384308157
2010,compen,con,344.36945555322603
2003,compen,con,336.1114646838728
2011,compen,con,347.79877911535146
2001,compen,con,326.63310869915796
2008,othtax,agr,0.0
2009,othtax,agr,0.0
2005,othtax,agr,0.0
2006,othtax,agr,0.0
2012,othtax,agr,0.0
2014,othtax,agr,0.0
2013,othtax,agr,0.0
1999,othtax,agr,0.0
