yr,i,m,value
2013,ins,trn,-9.990910629939253e-9
1999,ins,trn,-9.974947481717603e-9
2002,ins,trn,-9.990911462691696e-9
2017,ins,trn,-9.990910750654264e-9
2016,ins,trn,-9.97494553173024e-9
2015,ins,trn,-9.97494552040944e-9
1998,ins,trn,-9.974946680718347e-9
2004,ins,trn,-9.974947474336872e-9
2000,ins,trn,-9.990911240729136e-9
1997,ins,trn,-9.974945454684936e-9
2007,ins,trn,-9.974947319669898e-9
2010,ins,trn,-9.97494694598549e-9
2003,ins,trn,-9.990911359532415e-9
2011,ins,trn,-9.97494688943578e-9
2001,ins,trn,-9.990911287753667e-9
2008,tex,trn,-9.974946590518672e-9
2009,tex,trn,-9.974946376707745e-9
2005,tex,trn,-9.974946519834604e-9
2006,tex,trn,-9.974946463030985e-9
2012,tex,trn,-9.990910576439932e-9
2014,tex,trn,-9.990910454683073e-9
2013,tex,trn,-9.990910409174809e-9
1999,tex,trn,-9.974946801376463e-9
2002,tex,trn,-9.990911228273624e-9
2017,tex,trn,-9.990910491867843e-9
2016,tex,trn,-9.974944842819617e-9
2015,tex,trn,-9.974944819821414e-9
1998,tex,trn,-9.974946032666794e-9
2004,tex,trn,-9.974946788097114e-9
2000,tex,trn,-9.990911027010628e-9
1997,tex,trn,-9.974944801588126e-9
2007,tex,trn,-9.974946633555208e-9
2010,tex,trn,-9.97494629645295e-9
2003,tex,trn,-9.990911117558443e-9
2011,tex,trn,-9.974946284934663e-9
2001,tex,trn,-9.990911151507547e-9
2008,leg,trn,-9.974946741567177e-9
2009,leg,trn,-9.974946190334794e-9
2005,leg,trn,-9.974947143264737e-9
2006,leg,trn,-9.974947104729904e-9
2012,leg,trn,-9.990910789800798e-9
2014,leg,trn,-9.990910680011109e-9
2013,leg,trn,-9.990910630850438e-9
1999,leg,trn,-9.974947439902738e-9
2002,leg,trn,-9.990911450957484e-9
2017,leg,trn,-9.990910740495811e-9
2016,leg,trn,-9.974945502981519e-9
2015,leg,trn,-9.974945498191324e-9
1998,leg,trn,-9.97494666980106e-9
2004,leg,trn,-9.974947447927776e-9
2000,leg,trn,-9.990911204488355e-9
1997,leg,trn,-9.974945442443358e-9
2007,leg,trn,-9.974947317977306e-9
2010,leg,trn,-9.974946907805488e-9
2003,leg,trn,-9.990911351103564e-9
2011,leg,trn,-9.974946878655004e-9
2001,leg,trn,-9.990911273702049e-9
2008,fen,trn,-9.974946609741752e-9
2009,fen,trn,-9.974946459578725e-9
2005,fen,trn,-9.974947233687048e-9
2006,fen,trn,-9.974947175832548e-9
2012,fen,trn,-9.990910277273836e-9
2014,fen,trn,-9.990910762087442e-9
2013,fen,trn,-9.990909960235204e-9
1999,fen,trn,-9.974947432754137e-9
2002,fen,trn,-9.99091146508678e-9
2017,fen,trn,-9.990910845314871e-9
2016,fen,trn,-9.974945776136772e-9
2015,fen,trn,-9.974945774844092e-9
1998,fen,trn,-9.974946749440679e-9
2004,fen,trn,-9.974947524887792e-9
2000,fen,trn,-9.990911202293613e-9
1997,fen,trn,-9.974945530276547e-9
2007,fen,trn,-9.974947348858407e-9
2010,fen,trn,-9.97494709407731e-9
2003,fen,trn,-9.990911377962565e-9
2011,fen,trn,-9.974946990491231e-9
2001,fen,trn,-9.99091129769031e-9
2008,uti,trn,-9.974946930164185e-9
2009,uti,trn,-9.974946335153227e-9
2005,uti,trn,-9.974947187787027e-9
2006,uti,trn,-9.974947133820963e-9
2012,uti,trn,-9.990910917290938e-9
2014,uti,trn,-9.990910792694342e-9
2013,uti,trn,-9.99091071729071e-9
1999,uti,trn,-9.974947437593458e-9
2002,uti,trn,-9.990911472775383e-9
2017,uti,trn,-9.990910871546687e-9
2016,uti,trn,-9.974945837783275e-9
2015,uti,trn,-9.974945794908666e-9
1998,uti,trn,-9.974946640653726e-9
2004,uti,trn,-9.974947469793662e-9
2000,uti,trn,-9.990911228156636e-9
1997,uti,trn,-9.974945423151837e-9
2007,uti,trn,-9.974947381676465e-9
2010,uti,trn,-9.974946995788994e-9
2003,uti,trn,-9.990911360414193e-9
2011,uti,trn,-9.974947080551753e-9
2001,uti,trn,-9.990911299373884e-9
2008,nmp,trn,-9.97494662335989e-9
2009,nmp,trn,-9.974946502405351e-9
2005,nmp,trn,-9.974946516265527e-9
2006,nmp,trn,-9.974946464805827e-9
2012,nmp,trn,-9.99091059406522e-9
2014,nmp,trn,-9.990910504429758e-9
2013,nmp,trn,-9.990910458787724e-9
