yr,va,j,value
2007,compen,fbp,0.0
2010,compen,fbp,0.0
2003,compen,fbp,0.0
2011,compen,fbp,0.0
2001,compen,fbp,0.0
2008,othtax,rec,0.0
2009,othtax,rec,0.0
2005,othtax,rec,0.0
2006,othtax,rec,0.0
2012,othtax,rec,0.0
2014,othtax,rec,0.0
2013,othtax,rec,0.0
1999,othtax,rec,0.0
2002,othtax,rec,0.0
2017,othtax,rec,0.0
2016,othtax,rec,0.0
2015,othtax,rec,0.0
1998,othtax,rec,0.0
2004,othtax,rec,0.0
2000,othtax,rec,0.0
1997,othtax,rec,0.0
2007,othtax,rec,0.0
2010,othtax,rec,0.0
2003,othtax,rec,0.0
2011,othtax,rec,0.0
2001,othtax,rec,0.0
2008,surplus,rec,0.0
2009,surplus,rec,0.0
2005,surplus,rec,0.0
2006,surplus,rec,0.0
2012,surplus,rec,0.0
2014,surplus,rec,0.0
2013,surplus,rec,0.0
1999,surplus,rec,0.0
2002,surplus,rec,0.0
2017,surplus,rec,0.0
2016,surplus,rec,0.0
2015,surplus,rec,0.0
1998,surplus,rec,0.0
2004,surplus,rec,0.0
2000,surplus,rec,0.0
1997,surplus,rec,0.0
2007,surplus,rec,0.0
2010,surplus,rec,0.0
2003,surplus,rec,0.0
2011,surplus,rec,0.0
2001,surplus,rec,0.0
2008,compen,rec,0.0
2009,compen,rec,0.0
2005,compen,rec,0.0
2006,compen,rec,0.0
2012,compen,rec,0.0
2014,compen,rec,0.0
2013,compen,rec,0.0
1999,compen,rec,0.0
2002,compen,rec,0.0
2017,compen,rec,0.0
2016,compen,rec,0.0
2015,compen,rec,0.0
1998,compen,rec,0.0
2004,compen,rec,0.0
2000,compen,rec,0.0
1997,compen,rec,0.0
2007,compen,rec,0.0
2010,compen,rec,0.0
2003,compen,rec,0.0
2011,compen,rec,0.0
2001,compen,rec,0.0
2008,othtax,con,0.0
2009,othtax,con,0.0
2005,othtax,con,0.0
2006,othtax,con,0.0
2012,othtax,con,0.0
2014,othtax,con,0.0
2013,othtax,con,0.0
1999,othtax,con,0.0
2002,othtax,con,0.0
2017,othtax,con,0.0
2016,othtax,con,0.0
2015,othtax,con,0.0
1998,othtax,con,0.0
2004,othtax,con,0.0
2000,othtax,con,0.0
1997,othtax,con,0.0
2007,othtax,con,0.0
2010,othtax,con,0.0
2003,othtax,con,0.0
2011,othtax,con,0.0
2001,othtax,con,0.0
2008,surplus,con,0.0
2009,surplus,con,0.0
2005,surplus,con,0.0
2006,surplus,con,0.0
2012,surplus,con,0.0
2014,surplus,con,0.0
2013,surplus,con,0.0
1999,surplus,con,0.0
2002,surplus,con,0.0
2017,surplus,con,0.0
2016,surplus,con,0.0
2015,surplus,con,0.0
1998,surplus,con,0.0
2004,surplus,con,0.0
2000,surplus,con,0.0
1997,surplus,con,0.0
2007,surplus,con,0.0
2010,surplus,con,0.0
2003,surplus,con,0.0
2011,surplus,con,0.0
2001,surplus,con,0.0
2008,compen,con,0.0
2009,compen,con,0.0
2005,compen,con,0.0
2006,compen,con,0.0
2012,compen,con,0.0
2014,compen,con,0.0
2013,compen,con,0.0
1999,compen,con,0.0
2002,compen,con,0.0
2017,compen,con,0.0
2016,compen,con,0.0
2015,compen,con,0.0
1998,compen,con,0.0
2004,compen,con,0.0
2000,compen,con,0.0
1997,compen,con,0.0
2007,compen,con,0.0
2010,compen,con,0.0
2003,compen,con,0.0
2011,compen,con,0.0
2001,compen,con,0.0
2008,othtax,agr,0.0
2009,othtax,agr,0.0
2005,othtax,agr,0.0
2006,othtax,agr,0.0
2012,othtax,agr,0.0
2014,othtax,agr,0.0
2013,othtax,agr,0.0
1999,othtax,agr,0.0
2002,othtax,agr,0.0
2017,othtax,agr,0.0
2016,othtax,agr,0.0
2015,othtax,agr,0.0
1998,othtax,agr,0.0
2004,othtax,agr,0.0
2000,othtax,agr,0.0
1997,othtax,agr,0.0
2007,othtax,agr,0.0
2010,othtax,agr,0.0
2003,othtax,agr,0.0
2011,othtax,agr,0.0
2001,othtax,agr,0.0
2008,surplus,agr,0.0
2009,surplus,agr,0.0
2005,surplus,agr,0.0
2006,surplus,agr,0.0
2012,surplus,agr,0.0
2014,surplus,agr,0.0
2013,surplus,agr,0.0
1999,surplus,agr,0.0
2002,surplus,agr,0.0
2017,surplus,agr,0.0
2016,surplus,agr,0.0
2015,surplus,agr,0.0
1998,surplus,agr,0.0
2004,surplus,agr,0.0
2000,surplus,agr,0.0
1997,surplus,agr,0.0
2007,surplus,agr,0.0
2010,surplus,agr,0.0
2003,surplus,agr,0.0
2011,surplus,agr,0.0
2001,surplus,agr,0.0
2008,compen,agr,0.0
2009,compen,agr,0.0
2005,compen,agr,0.0
2006,compen,agr,0.0
2012,compen,agr,0.0
2014,compen,agr,0.0
2013,compen,agr,0.0
1999,compen,agr,0.0
2002,compen,agr,0.0
2017,compen,agr,0.0
2016,compen,agr,0.0
2015,compen,agr,0.0
1998,compen,agr,0.0
2004,compen,agr,0.0
2000,compen,agr,0.0
1997,compen,agr,0.0
2007,compen,agr,0.0
2010,compen,agr,0.0
2003,compen,agr,0.0
2011,compen,agr,0.0
2001,compen,agr,0.0
2008,othtax,eec,0.0
2009,othtax,eec,0.0
2005,othtax,eec,0.0
2006,othtax,eec,0.0
2012,othtax,eec,0.0
2014,othtax,eec,0.0
2013,othtax,eec,0.0
1999,othtax,eec,0.0
2002,othtax,eec,0.0
2017,othtax,eec,0.0
2016,othtax,eec,0.0
2015,othtax,eec,0.0
1998,othtax,eec,0.0
2004,othtax,eec,0.0
2000,othtax,eec,0.0
1997,othtax,eec,0.0
2007,othtax,eec,0.0
2010,othtax,eec,0.0
2003,othtax,eec,0.0
2011,othtax,eec,0.0
2001,othtax,eec,0.0
2008,surplus,eec,0.0
2009,surplus,eec,0.0
2005,surplus,eec,0.0
2006,surplus,eec,0.0
2012,surplus,eec,0.0
2014,surplus,eec,0.0
2013,surplus,eec,0.0
1999,surplus,eec,0.0
2002,surplus,eec,0.0
2017,surplus,eec,0.0
2016,surplus,eec,0.0
2015,surplus,eec,0.0
1998,surplus,eec,0.0
2004,surplus,eec,0.0
2000,surplus,eec,0.0
1997,surplus,eec,0.0
2007,surplus,eec,0.0
2010,surplus,eec,0.0
2003,surplus,eec,0.0
2011,surplus,eec,0.0
2001,surplus,eec,0.0
2008,compen,eec,0.0
2009,compen,eec,0.0
2005,compen,eec,0.0
2006,compen,eec,0.0
2012,compen,eec,0.0
2014,compen,eec,0.0
2013,compen,eec,0.0
1999,compen,eec,0.0
2002,compen,eec,0.0
2017,compen,eec,0.0
2016,compen,eec,0.0
2015,compen,eec,0.0
1998,compen,eec,0.0
2004,compen,eec,0.0
2000,compen,eec,0.0
1997,compen,eec,0.0
2007,compen,eec,0.0
2010,compen,eec,0.0
2003,compen,eec,0.0
2011,compen,eec,0.0
2001,compen,eec,0.0
2008,othtax,use,0.0
2009,othtax,use,0.0
2005,othtax,use,0.0
2006,othtax,use,0.0
2012,othtax,use,0.0
2014,othtax,use,0.0
2013,othtax,use,0.0
1999,othtax,use,0.0
2002,othtax,use,0.0
2017,othtax,use,0.0
2016,othtax,use,0.0
2015,othtax,use,0.0
1998,othtax,use,0.0
2004,othtax,use,0.0
2000,othtax,use,0.0
1997,othtax,use,0.0
2007,othtax,use,0.0
2010,othtax,use,0.0
2003,othtax,use,0.0
2011,othtax,use,0.0
2001,othtax,use,0.0
2008,surplus,use,0.0
2009,surplus,use,0.0
2005,surplus,use,0.0
2006,surplus,use,0.0
2012,surplus,use,0.0
2014,surplus,use,0.0
2013,surplus,use,0.0
1999,surplus,use,0.0
2002,surplus,use,0.0
2017,surplus,use,0.0
2016,surplus,use,0.0
2015,surplus,use,0.0
1998,surplus,use,0.0
2004,surplus,use,0.0
2000,surplus,use,0.0
1997,surplus,use,0.0
2007,surplus,use,0.0
2010,surplus,use,0.0
2003,surplus,use,0.0
2011,surplus,use,0.0
2001,surplus,use,0.0
2008,compen,use,0.0
2009,compen,use,0.0
2005,compen,use,0.0
2006,compen,use,0.0
2012,compen,use,0.0
2014,compen,use,0.0
2013,compen,use,0.0
1999,compen,use,0.0
2002,compen,use,0.0
2017,compen,use,0.0
2016,compen,use,0.0
2015,compen,use,0.0
1998,compen,use,0.0
2004,compen,use,0.0
2000,compen,use,0.0
1997,compen,use,0.0
2007,compen,use,0.0
2010,compen,use,0.0
2003,compen,use,0.0
2011,compen,use,0.0
2001,compen,use,0.0
2008,othtax,fnd,0.0
2009,othtax,fnd,0.0
2005,othtax,fnd,0.0
2006,othtax,fnd,0.0
2012,othtax,fnd,0.0
2014,othtax,fnd,0.0
2013,othtax,fnd,0.0
1999,othtax,fnd,0.0
2002,othtax,fnd,0.0
2017,othtax,fnd,0.0
2016,othtax,fnd,0.0
2015,othtax,fnd,0.0
1998,othtax,fnd,0.0
2004,othtax,fnd,0.0
2000,othtax,fnd,0.0
1997,othtax,fnd,0.0
2007,othtax,fnd,0.0
2010,othtax,fnd,0.0
2003,othtax,fnd,0.0
2011,othtax,fnd,0.0
2001,othtax,fnd,0.0
2008,surplus,fnd,0.0
2009,surplus,fnd,0.0
2005,surplus,fnd,0.0
2006,surplus,fnd,0.0
2012,surplus,fnd,0.0
2014,surplus,fnd,0.0
2013,surplus,fnd,0.0
1999,surplus,fnd,0.0
2002,surplus,fnd,0.0
