yr,m,i,value
2012,trn,pub,0.0
2014,trn,pub,0.0
2013,trn,pub,0.0
1999,trn,pub,0.0
2002,trn,pub,0.0
2017,trn,pub,0.0
2016,trn,pub,0.0
2015,trn,pub,0.0
1998,trn,pub,0.0
2004,trn,pub,0.0
2000,trn,pub,0.0
1997,trn,pub,0.0
2007,trn,pub,0.0
2010,trn,pub,0.0
2003,trn,pub,0.0
2011,trn,pub,0.0
2001,trn,pub,0.0
2008,trd,pub,0.0
2009,trd,pub,0.0
2005,trd,pub,0.0
2006,trd,pub,0.0
2012,trd,pub,0.0
2014,trd,pub,0.0
2013,trd,pub,0.0
1999,trd,pub,0.0
2002,trd,pub,0.0
2017,trd,pub,0.0
2016,trd,pub,0.0
2015,trd,pub,0.0
1998,trd,pub,0.0
2004,trd,pub,0.0
2000,trd,pub,0.0
1997,trd,pub,0.0
2007,trd,pub,0.0
2010,trd,pub,0.0
2003,trd,pub,0.0
2011,trd,pub,0.0
2001,trd,pub,0.0
2008,trn,hou,0.0
2009,trn,hou,0.0
2005,trn,hou,0.0
2006,trn,hou,0.0
2012,trn,hou,0.0
2014,trn,hou,0.0
2013,trn,hou,0.0
1999,trn,hou,0.0
2002,trn,hou,0.0
2017,trn,hou,0.0
2016,trn,hou,0.0
2015,trn,hou,0.0
1998,trn,hou,0.0
2004,trn,hou,0.0
2000,trn,hou,0.0
1997,trn,hou,0.0
2007,trn,hou,0.0
2010,trn,hou,0.0
2003,trn,hou,0.0
2011,trn,hou,0.0
2001,trn,hou,0.0
2008,trd,hou,0.0
2009,trd,hou,0.0
2005,trd,hou,0.0
2006,trd,hou,0.0
2012,trd,hou,0.0
2014,trd,hou,0.0
2013,trd,hou,0.0
1999,trd,hou,0.0
2002,trd,hou,0.0
2017,trd,hou,0.0
2016,trd,hou,0.0
2015,trd,hou,0.0
1998,trd,hou,0.0
2004,trd,hou,0.0
2000,trd,hou,0.0
1997,trd,hou,0.0
2007,trd,hou,0.0
2010,trd,hou,0.0
2003,trd,hou,0.0
2011,trd,hou,0.0
2001,trd,hou,0.0
2008,trn,fbt,0.0
2009,trn,fbt,0.0
2005,trn,fbt,0.0
2006,trn,fbt,0.0
2012,trn,fbt,0.0
2014,trn,fbt,0.0
2013,trn,fbt,0.0
1999,trn,fbt,0.0
2002,trn,fbt,0.0
2017,trn,fbt,0.0
2016,trn,fbt,0.0
2015,trn,fbt,0.0
1998,trn,fbt,0.0
2004,trn,fbt,0.0
2000,trn,fbt,0.0
1997,trn,fbt,0.0
2007,trn,fbt,0.0
2010,trn,fbt,0.0
