uni_0,uni_1,uni_2,uni_3,value
WV,2012,11212,millions of us dollars (USD),3.832
WV,2012,1122,millions of us dollars (USD),0.016999999999999998
WV,2012,1123,millions of us dollars (USD),2.246
WV,2012,1124,millions of us dollars (USD),0.15
WV,2012,1125,millions of us dollars (USD),0.005
WV,2012,1129,millions of us dollars (USD),0.878
WV,2017,11111,millions of us dollars (USD),5.122
WV,2017,11115,millions of us dollars (USD),15.03
WV,2017,11119,millions of us dollars (USD),7.968
WV,2017,1112,millions of us dollars (USD),9.030999999999999
WV,2017,1113,millions of us dollars (USD),22.233999999999998
WV,2017,1114,millions of us dollars (USD),33.638
WV,2017,1119,millions of us dollars (USD),37.345
WV,2017,11211,millions of us dollars (USD),15.193999999999999
WV,2017,11212,millions of us dollars (USD),3.343
WV,2017,1123,millions of us dollars (USD),2.924
WV,2017,1124,millions of us dollars (USD),0.22899999999999998
WV,2017,1129,millions of us dollars (USD),0.975
WV,2017,11114,millions of us dollars (USD),0.02
AZ,2012,1112,millions of us dollars (USD),812.2679999999999
AZ,2012,1113,millions of us dollars (USD),112.142
AZ,2012,1114,millions of us dollars (USD),320.49399999999997
AZ,2012,1119,millions of us dollars (USD),716.471
AZ,2012,11211,millions of us dollars (USD),2.4619999999999997
AZ,2012,11212,millions of us dollars (USD),0.832
AZ,2012,1122,millions of us dollars (USD),0.001
AZ,2017,11115,millions of us dollars (USD),32.684999999999995
AZ,2017,11119,millions of us dollars (USD),19.948999999999998
AZ,2017,1112,millions of us dollars (USD),1052.209
AZ,2017,1113,millions of us dollars (USD),140.021
AZ,2017,1114,millions of us dollars (USD),198.27599999999998
AZ,2017,1119,millions of us dollars (USD),632.2629999999999
AZ,2017,11211,millions of us dollars (USD),3.6029999999999998
AZ,2017,11212,millions of us dollars (USD),6.617
AZ,2017,1123,millions of us dollars (USD),0.019
AZ,2017,11114,millions of us dollars (USD),6.662
AZ,2017,11113,millions of us dollars (USD),0.040999999999999995
NH,2012,11115,millions of us dollars (USD),0.736
NH,2012,1114,millions of us dollars (USD),51.361999999999995
NH,2012,11211,millions of us dollars (USD),0.293
NH,2012,11212,millions of us dollars (USD),5.854
NH,2012,1123,millions of us dollars (USD),0.118
NH,2012,1124,millions of us dollars (USD),0.06699999999999999
NH,2017,1112,millions of us dollars (USD),15.543999999999999
NH,2017,1114,millions of us dollars (USD),54.092
NH,2017,1119,millions of us dollars (USD),17.840999999999998
NH,2017,11211,millions of us dollars (USD),0.5559999999999999
NH,2017,11212,millions of us dollars (USD),5.4399999999999995
NH,2017,1129,millions of us dollars (USD),0.27599999999999997
OK,2012,11111,millions of us dollars (USD),12.229999999999999
OK,2012,11115,millions of us dollars (USD),182.023
OK,2012,11119,millions of us dollars (USD),158.97
OK,2012,1112,millions of us dollars (USD),18.813
OK,2012,1113,millions of us dollars (USD),32.144
OK,2012,1114,millions of us dollars (USD),208.94299999999998
OK,2012,1119,millions of us dollars (USD),248.00199999999998
OK,2012,11211,millions of us dollars (USD),255.88199999999998
OK,2012,11212,millions of us dollars (USD),7.262
OK,2012,1123,millions of us dollars (USD),1.74
OK,2012,1124,millions of us dollars (USD),0.529
OK,2012,1129,millions of us dollars (USD),3.501
OK,2012,11114,millions of us dollars (USD),727.871
OK,2012,11112,millions of us dollars (USD),17.038999999999998
OK,2017,11111,millions of us dollars (USD),101.291
OK,2017,11115,millions of us dollars (USD),111.913
OK,2017,11119,millions of us dollars (USD),222.694
OK,2017,1112,millions of us dollars (USD),16.340999999999998
OK,2017,1113,millions of us dollars (USD),38.262
OK,2017,1114,millions of us dollars (USD),159.046
OK,2017,1119,millions of us dollars (USD),467.93399999999997
OK,2017,11211,millions of us dollars (USD),226.17999999999998
OK,2017,11212,millions of us dollars (USD),7.258
OK,2017,1123,millions of us dollars (USD),1.5559999999999998
OK,2017,1129,millions of us dollars (USD),2.645
OK,2017,11114,millions of us dollars (USD),156.393
NE,2012,11111,millions of us dollars (USD),413.329
