uni_0,uni_1,uni_2,uni_3,value
2008,RI,hce,millions of us dollars (USD),24450.3
2008,RI,utl,millions of us dollars (USD),7540.9
2008,RI,hea,millions of us dollars (USD),6283.4
2008,RI,rsr,millions of us dollars (USD),1429.3
2008,RI,htl,millions of us dollars (USD),2393.9
2008,RI,fsr,millions of us dollars (USD),2441.3
2008,RI,osr,millions of us dollars (USD),3395.1
2008,RI,npish,millions of us dollars (USD),1725.3
2008,RI,npi,millions of us dollars (USD),4591.2
2008,RI,nps,millions of us dollars (USD),2865.9
2008,AK,rec,millions of us dollars (USD),990.6
2008,AK,trn,millions of us dollars (USD),750.6
2008,AK,pce,millions of us dollars (USD),26488.9
2008,AK,gds,millions of us dollars (USD),8690.0
2008,AK,dur,millions of us dollars (USD),2750.6
2008,AK,mvp,millions of us dollars (USD),720.8
2008,AK,hdr,millions of us dollars (USD),665.3
2008,AK,odg,millions of us dollars (USD),374.0
2008,AK,ndr,millions of us dollars (USD),5939.3
2008,AK,foo,millions of us dollars (USD),2576.8
2008,AK,clo,millions of us dollars (USD),631.2
2008,AK,enr,millions of us dollars (USD),942.7
2008,AK,ong,millions of us dollars (USD),1788.7
2008,AK,ser,millions of us dollars (USD),17799.0
2008,AK,hce,millions of us dollars (USD),16587.7
2008,AK,utl,millions of us dollars (USD),4492.8
2008,AK,hea,millions of us dollars (USD),4761.8
2008,AK,rsr,millions of us dollars (USD),915.5
2008,AK,htl,millions of us dollars (USD),1988.9
2008,AK,fsr,millions of us dollars (USD),1463.4
2008,AK,osr,millions of us dollars (USD),2214.8
2008,AK,npish,millions of us dollars (USD),1211.3
2008,AK,npi,millions of us dollars (USD),2977.3
2008,AK,nps,millions of us dollars (USD),1766.0
2008,WV,rec,millions of us dollars (USD),1336.4
2008,WV,trn,millions of us dollars (USD),786.6
2008,WV,pce,millions of us dollars (USD),48871.4
2008,WV,gds,millions of us dollars (USD),18441.7
2008,WV,dur,millions of us dollars (USD),5196.4
2008,WV,mvp,millions of us dollars (USD),1974.7
2008,WV,hdr,millions of us dollars (USD),1145.0
2008,WV,odg,millions of us dollars (USD),740.3
2008,WV,ndr,millions of us dollars (USD),13245.2
2008,WV,foo,millions of us dollars (USD),4414.8
2008,WV,clo,millions of us dollars (USD),1356.4
2008,WV,enr,millions of us dollars (USD),2488.7
2008,WV,ong,millions of us dollars (USD),4985.2
2008,WV,ser,millions of us dollars (USD),30429.7
2008,WV,hce,millions of us dollars (USD),28386.3
2008,WV,utl,millions of us dollars (USD),7156.0
2008,WV,hea,millions of us dollars (USD),9896.2
2008,WV,rsr,millions of us dollars (USD),1416.7
2008,WV,htl,millions of us dollars (USD),3019.3
2008,WV,fsr,millions of us dollars (USD),2941.1
2008,WV,osr,millions of us dollars (USD),3170.5
2008,WV,npish,millions of us dollars (USD),2043.5
2008,WV,npi,millions of us dollars (USD),4945.4
2008,WV,nps,millions of us dollars (USD),2901.9
2008,AZ,rec,millions of us dollars (USD),6396.0
2008,AZ,trn,millions of us dollars (USD),6125.7
2008,AZ,pce,millions of us dollars (USD),186485.1
2008,AZ,gds,millions of us dollars (USD),69013.4
2008,AZ,dur,millions of us dollars (USD),22915.5
2008,AZ,mvp,millions of us dollars (USD),7242.9
2008,AZ,hdr,millions of us dollars (USD),5560.1
2008,AZ,odg,millions of us dollars (USD),3716.5
2008,AZ,ndr,millions of us dollars (USD),46097.9
2008,AZ,foo,millions of us dollars (USD),16408.8
2008,AZ,clo,millions of us dollars (USD),6211.9
2008,AZ,enr,millions of us dollars (USD),8055.2
2008,AZ,ong,millions of us dollars (USD),15422.1
2008,AZ,ser,millions of us dollars (USD),117471.7
2008,AZ,hce,millions of us dollars (USD),114060.1
2008,AZ,utl,millions of us dollars (USD),33635.6
2008,AZ,hea,millions of us dollars (USD),27560.3
2008,AZ,rsr,millions of us dollars (USD),7357.9
2008,AZ,htl,millions of us dollars (USD),13946.6
2008,AZ,fsr,millions of us dollars (USD),12377.5
2008,AZ,osr,millions of us dollars (USD),13056.6
2008,AZ,npish,millions of us dollars (USD),3411.6
2008,AZ,npi,millions of us dollars (USD),15704.5
2008,AZ,nps,millions of us dollars (USD),12292.9
2008,NH,rec,millions of us dollars (USD),1454.3
2008,NH,trn,millions of us dollars (USD),1585.5
2008,NH,pce,millions of us dollars (USD),53258.1
2008,NH,gds,millions of us dollars (USD),17641.3
2008,NH,dur,millions of us dollars (USD),5318.0
2008,NH,mvp,millions of us dollars (USD),1678.3
2008,NH,hdr,millions of us dollars (USD),1151.2
2008,NH,odg,millions of us dollars (USD),1034.1
2008,NH,ndr,millions of us dollars (USD),12323.4
2008,NH,foo,millions of us dollars (USD),4223.4
2008,NH,clo,millions of us dollars (USD),1697.2
2008,NH,enr,millions of us dollars (USD),2648.2
2008,NH,ong,millions of us dollars (USD),3754.7
2008,NH,ser,millions of us dollars (USD),35616.7
2008,NH,hce,millions of us dollars (USD),33364.1
2008,NH,utl,millions of us dollars (USD),10149.2
2008,NH,hea,millions of us dollars (USD),8357.3
2008,NH,rsr,millions of us dollars (USD),2073.1
2008,NH,htl,millions of us dollars (USD),2771.7
2008,NH,fsr,millions of us dollars (USD),4372.4
2008,NH,osr,millions of us dollars (USD),4054.9
2008,NH,npish,millions of us dollars (USD),2252.7
2008,NH,npi,millions of us dollars (USD),6038.1
2008,NH,nps,millions of us dollars (USD),3785.4
2008,OK,rec,millions of us dollars (USD),3395.6
2008,OK,trn,millions of us dollars (USD),2235.7
2008,OK,pce,millions of us dollars (USD),99641.0
2008,OK,gds,millions of us dollars (USD),38372.4
2008,OK,dur,millions of us dollars (USD),13096.3
2008,OK,mvp,millions of us dollars (USD),5114.7
2008,OK,hdr,millions of us dollars (USD),2992.1
2008,OK,odg,millions of us dollars (USD),1593.8
2008,OK,ndr,millions of us dollars (USD),25276.2
2008,OK,foo,millions of us dollars (USD),7232.2
2008,OK,clo,millions of us dollars (USD),3378.5
2008,OK,enr,millions of us dollars (USD),5841.9
2008,OK,ong,millions of us dollars (USD),8823.5
2008,OK,ser,millions of us dollars (USD),61268.6
2008,OK,hce,millions of us dollars (USD),59414.6
2008,OK,utl,millions of us dollars (USD),16178.3
2008,OK,hea,millions of us dollars (USD),17357.8
2008,OK,rsr,millions of us dollars (USD),3728.7
2008,OK,htl,millions of us dollars (USD),6092.9
2008,OK,fsr,millions of us dollars (USD),6530.8
2008,OK,osr,millions of us dollars (USD),7290.5
2008,OK,npish,millions of us dollars (USD),1854.0
2008,OK,npi,millions of us dollars (USD),9632.2
2008,OK,nps,millions of us dollars (USD),7778.2
2008,NE,rec,millions of us dollars (USD),1625.1
2008,NE,trn,millions of us dollars (USD),1502.7
2008,NE,pce,millions of us dollars (USD),57380.6
2008,NE,gds,millions of us dollars (USD),20662.9
2008,NE,dur,millions of us dollars (USD),6677.3
2008,NE,mvp,millions of us dollars (USD),2452.8
2008,NE,hdr,millions of us dollars (USD),1587.4
2008,NE,odg,millions of us dollars (USD),1012.0
2008,NE,ndr,millions of us dollars (USD),13985.6
2008,NE,foo,millions of us dollars (USD),4431.9
2008,NE,clo,millions of us dollars (USD),1565.9
2008,NE,enr,millions of us dollars (USD),3630.2
2008,NE,ong,millions of us dollars (USD),4357.7
2008,NE,ser,millions of us dollars (USD),36717.7
2008,NE,hce,millions of us dollars (USD),35136.9
2008,NE,utl,millions of us dollars (USD),8891.5
2008,NE,hea,millions of us dollars (USD),9679.7
2008,NE,rsr,millions of us dollars (USD),2120.0
2008,NE,htl,millions of us dollars (USD),3141.3
2008,NE,fsr,millions of us dollars (USD),5286.5
2008,NE,osr,millions of us dollars (USD),4515.3
2008,NE,npish,millions of us dollars (USD),1580.8
2008,NE,npi,millions of us dollars (USD),5642.7
2008,NE,nps,millions of us dollars (USD),4061.9
2008,KY,rec,millions of us dollars (USD),3315.2
2008,KY,trn,millions of us dollars (USD),2624.9
2008,KY,pce,millions of us dollars (USD),115668.1
2008,KY,gds,millions of us dollars (USD),44525.7
2008,KY,dur,millions of us dollars (USD),12205.3
2008,KY,mvp,millions of us dollars (USD),4237.1
2008,KY,hdr,millions of us dollars (USD),2888.0
2008,KY,odg,millions of us dollars (USD),1765.0
2008,KY,ndr,millions of us dollars (USD),32320.3
2008,KY,foo,millions of us dollars (USD),10997.6
2008,KY,clo,millions of us dollars (USD),3382.8
2008,KY,enr,millions of us dollars (USD),6579.5
2008,KY,ong,millions of us dollars (USD),11360.5
2008,KY,ser,millions of us dollars (USD),71142.4
2008,KY,hce,millions of us dollars (USD),67530.6
2008,KY,utl,millions of us dollars (USD),18243.3
2008,KY,hea,millions of us dollars (USD),20545.0
2008,KY,rsr,millions of us dollars (USD),4562.3
2008,KY,htl,millions of us dollars (USD),7226.8
2008,KY,fsr,millions of us dollars (USD),6536.8
2008,KY,osr,millions of us dollars (USD),7791.5
2008,KY,npish,millions of us dollars (USD),3611.8
2008,KY,npi,millions of us dollars (USD),12078.3
2008,KY,nps,millions of us dollars (USD),8466.4
2008,NM,rec,millions of us dollars (USD),1840.4
2008,NM,trn,millions of us dollars (USD),1748.8
2008,NM,pce,millions of us dollars (USD),57115.1
2008,NM,gds,millions of us dollars (USD),21144.2
2008,NM,dur,millions of us dollars (USD),7037.5
2008,NM,mvp,millions of us dollars (USD),2371.0
2008,NM,hdr,millions of us dollars (USD),1561.8
2008,NM,odg,millions of us dollars (USD),1264.2
2008,NM,ndr,millions of us dollars (USD),14106.7
2008,NM,foo,millions of us dollars (USD),4910.8
2008,NM,clo,millions of us dollars (USD),1564.3
2008,NM,enr,millions of us dollars (USD),3480.7
2008,NM,ong,millions of us dollars (USD),4150.9
2008,NM,ser,millions of us dollars (USD),35971.0
2008,NM,hce,millions of us dollars (USD),34293.5
2008,NM,utl,millions of us dollars (USD),9561.0
2008,NM,hea,millions of us dollars (USD),8881.6
2008,NM,rsr,millions of us dollars (USD),2456.2
2008,NM,htl,millions of us dollars (USD),4026.1
2008,NM,fsr,millions of us dollars (USD),3744.9
2008,NM,osr,millions of us dollars (USD),3874.8
2008,NM,npish,millions of us dollars (USD),1677.5
2008,NM,npi,millions of us dollars (USD),5318.7
2008,NM,nps,millions of us dollars (USD),3641.2
2008,IL,rec,millions of us dollars (USD),13070.1
2008,IL,trn,millions of us dollars (USD),14814.3
2008,IL,pce,millions of us dollars (USD),436806.7
2008,IL,gds,millions of us dollars (USD),136060.8
2008,IL,dur,millions of us dollars (USD),45820.9
2008,IL,mvp,millions of us dollars (USD),14430.7
2008,IL,hdr,millions of us dollars (USD),10504.7
2008,IL,odg,millions of us dollars (USD),7815.4
2008,IL,ndr,millions of us dollars (USD),90239.9
2008,IL,foo,millions of us dollars (USD),30545.0
2008,IL,clo,millions of us dollars (USD),14240.9
2008,IL,enr,millions of us dollars (USD),13334.1
2008,IL,ong,millions of us dollars (USD),32120.0
2008,IL,ser,millions of us dollars (USD),300745.9
2008,IL,hce,millions of us dollars (USD),282462.9
2008,IL,utl,millions of us dollars (USD),82155.5
2008,IL,hea,millions of us dollars (USD),65498.9
2008,IL,rsr,millions of us dollars (USD),17505.4
2008,IL,htl,millions of us dollars (USD),26710.9
2008,IL,fsr,millions of us dollars (USD),31999.5
2008,IL,osr,millions of us dollars (USD),43778.5
2008,IL,npish,millions of us dollars (USD),18283.0
2008,IL,npi,millions of us dollars (USD),56218.6
2008,IL,nps,millions of us dollars (USD),37935.6
2008,NC,rec,millions of us dollars (USD),8623.1
2008,NC,trn,millions of us dollars (USD),5396.7
2008,NC,pce,millions of us dollars (USD),255754.0
2008,NC,gds,millions of us dollars (USD),98518.2
2008,NC,dur,millions of us dollars (USD),32011.9
2008,NC,mvp,millions of us dollars (USD),11025.6
2008,NC,hdr,millions of us dollars (USD),8190.8
2008,NC,odg,millions of us dollars (USD),4172.3
2008,NC,ndr,millions of us dollars (USD),66506.4
2008,NC,foo,millions of us dollars (USD),22555.0
2008,NC,clo,millions of us dollars (USD),8593.9
2008,NC,enr,millions of us dollars (USD),12296.1
2008,NC,ong,millions of us dollars (USD),23061.3
2008,NC,ser,millions of us dollars (USD),157235.8
2008,NC,hce,millions of us dollars (USD),155854.7
2008,NC,utl,millions of us dollars (USD),42788.2
2008,NC,hea,millions of us dollars (USD),42848.4
2008,NC,rsr,millions of us dollars (USD),9319.1
2008,NC,htl,millions of us dollars (USD),17392.7
2008,NC,fsr,millions of us dollars (USD),18209.6
2008,NC,osr,millions of us dollars (USD),19900.0
