year,state,windc_label,units,value
2002,OR,pce,millions of us dollars (USD),87237.6
2002,PA,pce,millions of us dollars (USD),331645.1
2002,RI,pce,millions of us dollars (USD),28065.2
2002,SC,pce,millions of us dollars (USD),93115.0
2002,SD,pce,millions of us dollars (USD),17008.2
2002,TN,pce,millions of us dollars (USD),134628.3
2002,TX,pce,millions of us dollars (USD),516633.6
2002,UT,pce,millions of us dollars (USD),49194.5
2002,VT,pce,millions of us dollars (USD),17404.6
2002,VA,pce,millions of us dollars (USD),194618.7
2002,WA,pce,millions of us dollars (USD),162268.0
2002,WV,pce,millions of us dollars (USD),38098.3
2002,WI,pce,millions of us dollars (USD),136084.5
2002,WY,pce,millions of us dollars (USD),12420.8
2003,US,pce,millions of us dollars (USD),7740749.0
2003,AL,pce,millions of us dollars (USD),102313.2
2003,AK,pce,millions of us dollars (USD),20522.0
2003,AZ,pce,millions of us dollars (USD),142735.1
2003,AR,pce,millions of us dollars (USD),57972.8
2003,CA,pce,millions of us dollars (USD),968262.3
2003,CO,pce,millions of us dollars (USD),131876.0
2003,CT,pce,millions of us dollars (USD),114994.9
2003,DE,pce,millions of us dollars (USD),25161.6
2003,DC,pce,millions of us dollars (USD),25431.2
2003,FL,pce,millions of us dollars (USD),474147.6
2003,GA,pce,millions of us dollars (USD),216651.8
2003,HI,pce,millions of us dollars (USD),34908.7
2003,ID,pce,millions of us dollars (USD),30149.0
2003,IL,pce,millions of us dollars (USD),345412.2
2003,IN,pce,millions of us dollars (USD),150189.2
2003,IA,pce,millions of us dollars (USD),70943.6
2003,KS,pce,millions of us dollars (USD),68657.0
2003,KY,pce,millions of us dollars (USD),94424.1
2003,LA,pce,millions of us dollars (USD),100117.8
2003,ME,pce,millions of us dollars (USD),36845.0
2003,MD,pce,millions of us dollars (USD),162394.9
2003,MA,pce,millions of us dollars (USD),217838.8
2003,MI,pce,millions of us dollars (USD),255035.6
2003,MN,pce,millions of us dollars (USD),152735.8
2003,MS,pce,millions of us dollars (USD),58012.3
2003,MO,pce,millions of us dollars (USD),150615.7
2003,MT,pce,millions of us dollars (USD),22937.4
2003,NE,pce,millions of us dollars (USD),44041.8
2003,NV,pce,millions of us dollars (USD),61293.1
2003,NH,pce,millions of us dollars (USD),41145.6
2003,NJ,pce,millions of us dollars (USD),277140.7
2003,NM,pce,millions of us dollars (USD),41970.3
2003,NY,pce,millions of us dollars (USD),531530.1
2003,NC,pce,millions of us dollars (USD),203839.7
2003,ND,pce,millions of us dollars (USD),16264.8
2003,OH,pce,millions of us dollars (USD),293562.7
2003,OK,pce,millions of us dollars (USD),76708.2
2003,OR,pce,millions of us dollars (USD),91496.6
2003,PA,pce,millions of us dollars (USD),351529.1
2003,RI,pce,millions of us dollars (USD),29979.2
2003,SC,pce,millions of us dollars (USD),97975.0
2003,SD,pce,millions of us dollars (USD),18034.0
2003,TN,pce,millions of us dollars (USD),140625.2
2003,TX,pce,millions of us dollars (USD),541573.6
2003,UT,pce,millions of us dollars (USD),51832.4
2003,VT,pce,millions of us dollars (USD),18420.9
2003,VA,pce,millions of us dollars (USD),206836.8
2003,WA,pce,millions of us dollars (USD),171444.6
2003,WV,pce,millions of us dollars (USD),39784.4
2003,WI,pce,millions of us dollars (USD),143768.7
2003,WY,pce,millions of us dollars (USD),13215.8
2004,US,pce,millions of us dollars (USD),8231960.0
2004,AL,pce,millions of us dollars (USD),108647.0
2004,AK,pce,millions of us dollars (USD),21809.9
2004,AZ,pce,millions of us dollars (USD),155232.9
2004,AR,pce,millions of us dollars (USD),61486.7
2004,CA,pce,millions of us dollars (USD),1034173.3
2004,CO,pce,millions of us dollars (USD),139927.7
2004,CT,pce,millions of us dollars (USD),121997.7
2004,DE,pce,millions of us dollars (USD),26922.3
2004,DC,pce,millions of us dollars (USD),27219.5
2004,FL,pce,millions of us dollars (USD),513638.0
2004,GA,pce,millions of us dollars (USD),230226.1
2004,HI,pce,millions of us dollars (USD),37388.2
2004,ID,pce,millions of us dollars (USD),32365.2
2004,IL,pce,millions of us dollars (USD),363334.1
2004,IN,pce,millions of us dollars (USD),160039.1
2004,IA,pce,millions of us dollars (USD),75345.9
2004,KS,pce,millions of us dollars (USD),72687.3
2004,KY,pce,millions of us dollars (USD),100060.4
2004,LA,pce,millions of us dollars (USD),105841.0
2004,ME,pce,millions of us dollars (USD),39036.5
2004,MD,pce,millions of us dollars (USD),173206.7
2004,MA,pce,millions of us dollars (USD),230487.3
2004,MI,pce,millions of us dollars (USD),266385.0
2004,MN,pce,millions of us dollars (USD),161790.3
