windc_label,state,year,units,value
col,HI,2000,million metric tons of carbon dioxide,1.679861824152424
col,ID,2000,million metric tons of carbon dioxide,1.296262500913801
col,IL,2000,million metric tons of carbon dioxide,96.60688368689958
col,IN,2000,million metric tons of carbon dioxide,151.1995607334184
col,IA,2000,million metric tons of carbon dioxide,42.42489504827363
col,KS,2000,million metric tons of carbon dioxide,34.56057301297803
col,KY,2000,million metric tons of carbon dioxide,94.92684908651518
col,LA,2000,million metric tons of carbon dioxide,24.12698032462584
col,ME,2000,million metric tons of carbon dioxide,0.9457573274781176
col,MD,2000,million metric tons of carbon dioxide,29.72120488470688
col,MA,2000,million metric tons of carbon dioxide,10.92218468402326
col,MI,2000,million metric tons of carbon dioxide,75.99055755470815
col,MN,2000,million metric tons of carbon dioxide,35.57293303262292
col,MS,2000,million metric tons of carbon dioxide,14.04709802612859
col,MO,2000,million metric tons of carbon dioxide,65.61221735960248
col,MT,2000,million metric tons of carbon dioxide,16.8392500171754
col,NE,2000,million metric tons of carbon dioxide,19.70734003861591
col,NV,2000,million metric tons of carbon dioxide,18.98606925833792
col,NH,2000,million metric tons of carbon dioxide,4.19491187320477
col,NJ,2000,million metric tons of carbon dioxide,10.93038019673338
col,NM,2000,million metric tons of carbon dioxide,29.10444844741357
col,NY,2000,million metric tons of carbon dioxide,31.39055875061048
col,NC,2000,million metric tons of carbon dioxide,74.85064583647866
col,ND,2000,million metric tons of carbon dioxide,40.36181692094693
col,OH,2000,million metric tons of carbon dioxide,135.8985706250206
col,OK,2000,million metric tons of carbon dioxide,36.29333280792992
col,OR,2000,million metric tons of carbon dioxide,3.686928794724597
col,PA,2000,million metric tons of carbon dioxide,143.033491880033
col,RI,2000,million metric tons of carbon dioxide,0.004957154215279451
col,SC,2000,million metric tons of carbon dioxide,41.12965549086345
col,SD,2000,million metric tons of carbon dioxide,4.809578620734037
col,TN,2000,million metric tons of carbon dioxide,67.09201783325928
col,TX,2000,million metric tons of carbon dioxide,147.4287287840578
col,UT,2000,million metric tons of carbon dioxide,38.29649518032882
col,VT,2000,million metric tons of carbon dioxide,0.002478577107639726
col,VA,2000,million metric tons of carbon dioxide,48.15493407416319
col,WA,2000,million metric tons of carbon dioxide,10.11892038244614
col,WV,2000,million metric tons of carbon dioxide,92.99989303832078
col,WI,2000,million metric tons of carbon dioxide,47.52582090395825
col,WY,2000,million metric tons of carbon dioxide,48.18580903247378
col,US,2000,million metric tons of carbon dioxide,2147.108915925754
col,AL,2001,million metric tons of carbon dioxide,80.0605626572371
col,AK,2001,million metric tons of carbon dioxide,1.516144127044782
