year,state,windc_label,units,value
2001,PA,totrev,millions of us dollars (USD),45887.49
2001,RI,totrev,millions of us dollars (USD),5483.128
2001,SC,totrev,millions of us dollars (USD),16865.229
2001,SD,totrev,millions of us dollars (USD),3170.9590000000003
2001,TN,totrev,millions of us dollars (USD),17344.232
2001,TX,totrev,millions of us dollars (USD),65525.245
2001,UT,totrev,millions of us dollars (USD),9131.656
2001,VT,totrev,millions of us dollars (USD),3143.1
2001,VA,totrev,millions of us dollars (USD),22760.13
2001,WA,totrev,millions of us dollars (USD),23646.114
2001,WV,totrev,millions of us dollars (USD),8296.556
2001,WI,totrev,millions of us dollars (USD),18826.011
2001,WY,totrev,millions of us dollars (USD),2880.176
2002,AL,totrev,millions of us dollars (USD),14942.192000000001
2002,AK,totrev,millions of us dollars (USD),5018.805
2002,AZ,totrev,millions of us dollars (USD),17297.726
2002,AR,totrev,millions of us dollars (USD),10247.487000000001
2002,CA,totrev,millions of us dollars (USD),151245.388
2002,CO,totrev,millions of us dollars (USD),12478.045
2002,CT,totrev,millions of us dollars (USD),16993.167
2002,DE,totrev,millions of us dollars (USD),4682.495
2002,FL,totrev,millions of us dollars (USD),48489.136
2002,GA,totrev,millions of us dollars (USD),24846.501
2002,HI,totrev,millions of us dollars (USD),5868.714
2002,ID,totrev,millions of us dollars (USD),4487.6720000000005
2002,IL,totrev,millions of us dollars (USD),41094.791
2002,IN,totrev,millions of us dollars (USD),20116.042
2002,IA,totrev,millions of us dollars (USD),11130.351
2002,KS,totrev,millions of us dollars (USD),9694.312
2002,KY,totrev,millions of us dollars (USD),16072.899
2002,LA,totrev,millions of us dollars (USD),18093.632
2002,ME,totrev,millions of us dollars (USD),5451.423
2002,MD,totrev,millions of us dollars (USD),20787.889
2002,MA,totrev,millions of us dollars (USD),26885.248
2002,MI,totrev,millions of us dollars (USD),43935.634
2002,MN,totrev,millions of us dollars (USD),22438.505
2002,MS,totrev,millions of us dollars (USD),11052.453
2002,MO,totrev,millions of us dollars (USD),19085.356
2002,MT,totrev,millions of us dollars (USD),4033.1800000000003
2002,NE,totrev,millions of us dollars (USD),6001.93
2002,NV,totrev,millions of us dollars (USD),6888.159000000001
2002,NH,totrev,millions of us dollars (USD),4636.375
2002,NJ,totrev,millions of us dollars (USD),32709.241
2002,NM,totrev,millions of us dollars (USD),8746.253
2002,NY,totrev,millions of us dollars (USD),104533.614
2002,NC,totrev,millions of us dollars (USD),31523.608
2002,ND,totrev,millions of us dollars (USD),3016.8250000000003
2002,OH,totrev,millions of us dollars (USD),43787.987
2002,OK,totrev,millions of us dollars (USD),13133.991
2002,OR,totrev,millions of us dollars (USD),14815.282000000001
2002,PA,totrev,millions of us dollars (USD),46164.524
2002,RI,totrev,millions of us dollars (USD),4891.253
2002,SC,totrev,millions of us dollars (USD),16996.797
2002,SD,totrev,millions of us dollars (USD),2500.0280000000002
2002,TN,totrev,millions of us dollars (USD),17951.931
2002,TX,totrev,millions of us dollars (USD),60386.905
2002,UT,totrev,millions of us dollars (USD),8467.827
2002,VT,totrev,millions of us dollars (USD),3259.608
2002,VA,totrev,millions of us dollars (USD),23576.891
2002,WA,totrev,millions of us dollars (USD),23813.123
2002,WV,totrev,millions of us dollars (USD),9130.217
2002,WI,totrev,millions of us dollars (USD),20874.265
2002,WY,totrev,millions of us dollars (USD),2769.606
2003,AL,totrev,millions of us dollars (USD),19098.788
2003,AK,totrev,millions of us dollars (USD),6924.2210000000005
2003,AZ,totrev,millions of us dollars (USD),17927.436
2003,AR,totrev,millions of us dollars (USD),11805.012
2003,CA,totrev,millions of us dollars (USD),195545.076
2003,CO,totrev,millions of us dollars (USD),13805.946
2003,CT,totrev,millions of us dollars (USD),18240.537
2003,DE,totrev,millions of us dollars (USD),5040.703
2003,FL,totrev,millions of us dollars (USD),55212.605
2003,GA,totrev,millions of us dollars (USD),29874.373
2003,HI,totrev,millions of us dollars (USD),6808.157
2003,ID,totrev,millions of us dollars (USD),5492.993
2003,IL,totrev,millions of us dollars (USD),44422.828
2003,IN,totrev,millions of us dollars (USD),24553.393
2003,IA,totrev,millions of us dollars (USD),12972.701000000001
2003,KS,totrev,millions of us dollars (USD),10401.734
2003,KY,totrev,millions of us dollars (USD),18377.403000000002
2003,LA,totrev,millions of us dollars (USD),19437.629
2003,ME,totrev,millions of us dollars (USD),6801.191
2003,MD,totrev,millions of us dollars (USD),21801.442
2003,MA,totrev,millions of us dollars (USD),30371.289
2003,MI,totrev,millions of us dollars (USD),50076.603
2003,MN,totrev,millions of us dollars (USD),25596.307
2003,MS,totrev,millions of us dollars (USD),13393.021
2003,MO,totrev,millions of us dollars (USD),22023.719
2003,MT,totrev,millions of us dollars (USD),4608.118
2003,NE,totrev,millions of us dollars (USD),7285.21
2003,NV,totrev,millions of us dollars (USD),8351.343
2003,NH,totrev,millions of us dollars (USD),5206.836
2003,NJ,totrev,millions of us dollars (USD),46077.61
2003,NM,totrev,millions of us dollars (USD),9847.659
2003,NY,totrev,millions of us dollars (USD),118274.576
2003,NC,totrev,millions of us dollars (USD),30042.985
2003,ND,totrev,millions of us dollars (USD),3359.107
2003,OH,totrev,millions of us dollars (USD),49904.58
2003,OK,totrev,millions of us dollars (USD),14918.73
2003,OR,totrev,millions of us dollars (USD),19252.091
2003,PA,totrev,millions of us dollars (USD),49459.403
2003,RI,totrev,millions of us dollars (USD),5855.988
2003,SC,totrev,millions of us dollars (USD),19669.246
2003,SD,totrev,millions of us dollars (USD),2999.838
2003,TN,totrev,millions of us dollars (USD),20564.361
2003,TX,totrev,millions of us dollars (USD),82621.32800000001
2003,UT,totrev,millions of us dollars (USD),11534.161
