yr,va,j,value
1999,surplus,rnt,95.61375188253959
1999,surplus,pla,25.71921927444377
1999,surplus,fof,10.110581366962645
1999,surplus,fin,14.167075425045207
1999,surplus,tsv,124.64189728252946
1999,surplus,nrs,3.526416668008307
1999,surplus,sec,3.4721730320117477
1999,surplus,art,17.207810114984863
1999,surplus,mov,38.71671366101893
1999,surplus,fpd,8.57570553924358
1999,surplus,slg,84.87265762643923
1999,surplus,pri,7.137145761343191
1999,surplus,grd,6.574718961973325
1999,surplus,pip,5.55180634309622
1999,surplus,sle,33.137514898114986
1999,surplus,osv,89.5343987076403
1999,surplus,trn,5.521642111564684
1999,surplus,smn,1.6425511708843252
1999,surplus,fmt,37.855839013369426
1999,surplus,pet,32.29648674716414
1999,surplus,mvt,34.45926438842698
1999,surplus,cep,53.760677764621455
1999,surplus,wst,9.079358534173142
1999,surplus,mot,55.459583480560404
1999,surplus,adm,44.77026692203499
1999,surplus,soc,8.242597831995576
1999,surplus,alt,5.444893909082786
1999,surplus,pmt,11.473157459679687
1999,surplus,trk,30.978420391094424
1999,surplus,fdd,101.5383091244073
1999,surplus,gmt,12.515836096791489
1999,surplus,wtt,2.6590116639620387
1999,surplus,wpd,7.00636262928024
1999,surplus,wht,147.90504068730345
1999,surplus,wrh,6.813957530824225
1999,surplus,ott,79.72670679825157
1999,surplus,che,113.75809418500772
1999,surplus,air,9.56351959243027
1999,surplus,mmf,21.061656179459646
1999,surplus,otr,11.409415350165736
1999,surplus,min,12.60818681898279
1999,compen,ppd,33.412386171654695
1999,compen,res,118.03634555420949
1999,compen,com,93.22559764140522
1999,compen,amb,205.9556410828362
1999,compen,fbp,69.00812896501212
1999,compen,rec,26.103993722388772
1999,compen,con,279.26151346687413
1999,compen,agr,18.697944606545533
1999,compen,eec,29.490842110390293
1999,compen,fnd,79.59357377126268
1999,compen,pub,70.41896391951866
1999,compen,hou,9.895592599262526
1999,compen,fbt,62.708620012626255
1999,compen,ins,127.6896898781481
1999,compen,tex,20.401404634841196
1999,compen,leg,68.9172236304306
1999,compen,fen,50.04970084809132
1999,compen,uti,47.24229125246641
1999,compen,nmp,24.469083853994015
1999,compen,brd,100.22064223856316
1999,compen,bnk,130.89048582184736
1999,compen,ore,40.88470200625347
1999,compen,edu,69.68696938890302
1999,compen,ote,51.00662015289492
1999,compen,man,126.59126890481872
1999,compen,mch,75.90645412039864
1999,compen,dat,25.991515511488274
1999,compen,amd,46.48118966313683
1999,compen,oil,12.319423169289802
1999,compen,hos,155.8589254231586
1999,compen,rnt,22.46767505253365
1999,compen,pla,38.60023090131714
1999,compen,fof,10.607855681665358
1999,compen,fin,1.0107139851574432
1999,compen,tsv,242.23924878061155
1999,compen,nrs,59.82506868840796
1999,compen,sec,118.52490450798915
1999,compen,art,23.82040960495505
