yr,i,m,value
1998,soc,trn,1.3653361364171403e-12
1998,soc,trd,1.3741366407635972e-12
1998,alt,trn,1.370320510254214e-12
1998,alt,trd,1.3791522129689976e-12
1998,pmt,trn,1.368957187476353e-12
1998,pmt,trd,1.3777801654467052e-12
1998,trk,trn,131.25242406592508
1998,trk,trd,1.3879885622568247e-12
1998,fdd,trn,1.3746014469196144e-12
1998,fdd,trd,1.383468448389909e-12
1998,gmt,trn,1.3716024967064982e-12
1998,gmt,trd,94.28829630159701
1998,wtt,trn,9.260667792163286
1998,wtt,trd,1.3793657605831264e-12
1998,wpd,trn,1.3720179470453247e-12
1998,wpd,trd,1.3808687759605126e-12
1998,wht,trn,1.3733974439410433e-12
1998,wht,trd,565.0389617742462
1998,wrh,trn,1.3824823482657053e-12
1998,wrh,trd,1.391401875127525e-12
1998,ott,trn,1.3732492082499302e-12
1998,ott,trd,387.7702722406179
1998,che,trn,1.3756825869801593e-12
1998,che,trd,1.384558149381691e-12
1998,air,trn,2.3362414898355874
1998,air,trd,1.3878090202127816e-12
1998,mmf,trn,1.3699935240003647e-12
1998,mmf,trd,1.3788269575414662e-12
1998,otr,trn,0.6860754372367617
1998,otr,trd,1.3855503460859167e-12
1998,min,trn,1.3708647704104304e-12
1998,min,trd,1.3797074152406526e-12
1999,ppd,trn,3.936487416856671e-12
1999,ppd,trd,3.967941493869019e-12
1999,res,trn,3.929620415834105e-12
1999,res,trd,3.961016429503164e-12
1999,com,trn,3.92230379517944e-12
1999,com,trd,3.9535879333108895e-12
1999,amb,trn,3.932000390972523e-12
1999,amb,trd,3.9634284037680986e-12
1999,fbp,trn,3.936808305240355e-12
1999,fbp,trd,3.968285443386333e-12
1999,rec,trn,3.913131817575049e-12
1999,rec,trd,3.9443682771167006e-12
1999,con,trn,3.937867227779153e-12
1999,con,trd,3.96935169491979e-12
1999,agr,trn,3.936978893535893e-12
1999,agr,trd,3.968482942586037e-12
1999,eec,trn,3.930563739946922e-12
1999,eec,trd,3.9619559382735305e-12
1999,fnd,trn,3.932728461505342e-12
1999,fnd,trd,3.964145126905856e-12
1999,pub,trn,3.933209457512657e-12
1999,pub,trd,3.9646419505507644e-12
1999,hou,trn,3.936839040017375e-12
1999,hou,trd,3.96829568015442e-12
1999,fbt,trn,3.9257943460085596e-12
1999,fbt,trd,116.81551325613273
1999,ins,trn,3.944430139474619e-12
1999,ins,trd,3.97597424956932e-12
1999,tex,trn,3.929774731464537e-12
1999,tex,trd,3.961165984237058e-12
1999,leg,trn,3.950714885487962e-12
1999,leg,trd,3.9823309410141676e-12
1999,fen,trn,3.964838726315985e-12
1999,fen,trd,3.996595485913413e-12
1999,uti,trn,3.946214109459694e-12
1999,uti,trd,3.977805752425989e-12
1999,nmp,trn,3.932932954547834e-12
1999,nmp,trd,3.964370912216622e-12
1999,brd,trn,3.945641188667316e-12
1999,brd,trd,3.9772049018965645e-12
1999,bnk,trn,3.9390964137554675e-12
1999,bnk,trd,3.970560195563954e-12
1999,ore,trn,3.946478747838397e-12
1999,ore,trd,3.978044388848976e-12
1999,edu,trn,3.933248083034478e-12
1999,edu,trd,3.964708177673906e-12
1999,ote,trn,3.930736502537779e-12
1999,ote,trd,3.962132808347282e-12
1999,man,trn,3.9469794275839445e-12
1999,man,trd,3.978522900460577e-12
1999,mch,trn,3.936008470170918e-12
1999,mch,trd,3.967470108852458e-12
1999,dat,trn,3.943607982708568e-12
1999,dat,trd,3.975157276423532e-12
1999,amd,trn,3.924657155654884e-12
1999,amd,trd,3.9559576256059165e-12
1999,oil,trn,3.9156980391341305e-12
1999,oil,trd,3.946928514734081e-12
1999,hos,trn,3.937986808463844e-12
1999,hos,trd,3.969499432783936e-12
1999,rnt,trn,3.943569277575473e-12
1999,rnt,trd,3.975114484652907e-12
1999,pla,trn,3.937557469908633e-12
1999,pla,trd,3.969024770024079e-12
1999,fof,trn,3.901861107939227e-12
1999,fof,trd,3.9329382901815594e-12
1999,fin,trn,3.924379401000668e-12
1999,fin,trd,3.955726216984758e-12
1999,tsv,trn,3.93909638553496e-12
1999,tsv,trd,3.970693988619843e-12
1999,nrs,trn,3.917458172103913e-12
1999,nrs,trd,3.948696124759613e-12
1999,sec,trn,3.9414905310210104e-12
1999,sec,trd,3.973013265875638e-12
1999,art,trn,3.939833279898366e-12
1999,art,trd,3.9713215312650916e-12
1999,mov,trn,3.918622901321603e-12
1999,mov,trd,3.949876764244759e-12
1999,fpd,trn,3.912432228813561e-12
1999,fpd,trd,3.943624244180369e-12
1999,slg,trn,3.935971978455166e-12
1999,slg,trd,3.96743705146891e-12
1999,pri,trn,3.935317625443972e-12
1999,pri,trd,3.966760717785541e-12
1999,grd,trn,3.911594575868633e-12
1999,grd,trd,3.942771464248364e-12
1999,pip,trn,21.916640240879165
1999,pip,trd,3.956652152288201e-12
1999,sle,trn,3.934601063768355e-12
1999,sle,trd,3.966032204578229e-12
1999,osv,trn,3.937235691043823e-12
1999,osv,trd,3.9687102398052224e-12
1999,trn,trn,31.43410968765717
1999,trn,trd,3.972887450901483e-12
1999,smn,trn,3.884291493564628e-12
1999,smn,trd,3.915123349795378e-12
1999,fmt,trn,3.936427952174609e-12
1999,fmt,trd,3.967878430570996e-12
1999,pet,trn,3.932841827394734e-12
1999,pet,trd,3.96426173838655e-12
1999,mvt,trn,3.926303453878343e-12
1999,mvt,trd,104.21019433683868
1999,cep,trn,3.935203697583581e-12
1999,cep,trd,3.966632209163689e-12
1999,wst,trn,3.927293877219005e-12
1999,wst,trd,3.958649350919168e-12
1999,mot,trn,3.934932752800671e-12
1999,mot,trd,3.9663690795143435e-12
1999,adm,trn,3.938782449527707e-12
1999,adm,trd,3.9702362982028444e-12
1999,soc,trn,3.91032107225729e-12
1999,soc,trd,3.941489146483103e-12
1999,alt,trn,3.917529480720187e-12
1999,alt,trd,3.948761348264104e-12
1999,pmt,trn,3.916926237361875e-12
1999,pmt,trd,3.948160171165325e-12
1999,trk,trn,138.8162798359587
1999,trk,trd,3.9800403932578894e-12
1999,fdd,trn,3.932429954265158e-12
1999,fdd,trd,3.963850403472069e-12
1999,gmt,trn,3.924213635489564e-12
1999,gmt,trd,101.8845931887418
1999,wtt,trn,8.828190721509305
1999,wtt,trd,3.971247372479213e-12
1999,wpd,trn,3.929707647572015e-12
1999,wpd,trd,3.961103397921052e-12
1999,wht,trn,3.928028247344095e-12
1999,wht,trd,610.5451290552456
1999,wrh,trn,3.945548643343662e-12
1999,wrh,trd,3.977107929295167e-12
1999,ott,trn,3.929058635715047e-12
1999,ott,trd,408.4989335383031
1999,che,trn,3.9334636156831915e-12
1999,che,trd,3.9648716767007225e-12
1999,air,trn,2.4976785625869162
1999,air,trd,3.971892199078353e-12
1999,mmf,trn,3.920096899870532e-12
1999,mmf,trd,3.951373093677178e-12
1999,otr,trn,0.986329254404862
1999,otr,trd,3.966011680979223e-12
1999,min,trn,3.925282904336359e-12
1999,min,trd,3.9566282117283e-12
2000,ppd,trn,8.948188999835714e-12
2000,ppd,trd,9.012806764913022e-12
2000,res,trn,8.932809398233751e-12
2000,res,trd,8.997305231689318e-12
2000,com,trn,8.917844786618444e-12
2000,com,trd,8.982130601347981e-12
2000,amb,trn,8.93880364929856e-12
2000,amb,trd,9.0033674595023e-12
2000,fbp,trn,8.94904639449462e-12
2000,fbp,trd,9.01371113404098e-12
2000,rec,trn,8.90586766521999e-12
2000,rec,trd,8.970145376635129e-12
2000,con,trn,8.948974246298192e-12
2000,con,trd,9.013618107382375e-12
2000,agr,trn,8.946938279273735e-12
2000,agr,trd,9.01162292848958e-12
2000,eec,trn,8.9320352820611e-12
2000,eec,trd,8.996489026876756e-12
2000,fnd,trn,8.939493056162056e-12
2000,fnd,trd,9.004026393164792e-12
2000,pub,trn,8.937430259400014e-12
2000,pub,trd,9.00196981019137e-12
2000,hou,trn,8.946613048359132e-12
2000,hou,trd,9.01120921285386e-12
2000,fbt,trn,8.923719627405006e-12
2000,fbt,trd,117.00651272405017
2000,ins,trn,8.963173852981853e-12
2000,ins,trd,9.027922598068174e-12
2000,tex,trn,8.932013698940509e-12
2000,tex,trd,8.996486316584117e-12
2000,leg,trn,8.971956589370827e-12
2000,leg,trd,9.03680495616019e-12
2000,fen,trn,9.003244371306494e-12
2000,fen,trd,9.068377844485477e-12
2000,uti,trn,8.967696758154184e-12
2000,uti,trd,9.032548657555044e-12
2000,nmp,trn,8.936471798118974e-12
2000,nmp,trd,9.001008729661532e-12
2000,brd,trn,8.967419703429597e-12
2000,brd,trd,9.032237163130084e-12
2000,bnk,trn,8.951395000028295e-12
2000,bnk,trd,9.015994971757863e-12
2000,ore,trn,8.969596761215978e-12
2000,ore,trd,9.034414521046543e-12
2000,edu,trn,8.942157871717718e-12
2000,edu,trd,9.006794295418354e-12
2000,ote,trn,8.930789702772182e-12
2000,ote,trd,8.995224693745475e-12
2000,man,trn,8.966723537467554e-12
2000,man,trd,9.031464034054184e-12
2000,mch,trn,8.948076280853467e-12
2000,mch,trd,9.012714400465644e-12
2000,dat,trn,8.956740748589245e-12
2000,dat,trd,9.021469546312909e-12
2000,amd,trn,8.92211856544976e-12
2000,amd,trd,8.986440960311661e-12
2000,oil,trn,8.886176717560903e-12
2000,oil,trd,8.950146864210515e-12
2000,hos,trn,8.951364372008238e-12
2000,hos,trd,9.016089954691172e-12
2000,rnt,trn,8.961417863199596e-12
2000,rnt,trd,9.026175762193519e-12
2000,pla,trn,8.947991445773153e-12
2000,pla,trd,9.01260806892411e-12
2000,fof,trn,8.875796757317974e-12
2000,fof,trd,8.93968939673639e-12
2000,fin,trn,8.927275442165932e-12
2000,fin,trd,8.991728010596547e-12
2000,tsv,trn,8.954530298680414e-12
2000,tsv,trd,9.019444778718582e-12
2000,nrs,trn,8.908760794228199e-12
2000,nrs,trd,8.972979983235386e-12
2000,sec,trn,8.959275154452523e-12
2000,sec,trd,9.024018914004247e-12
2000,art,trn,8.955707186255868e-12
2000,art,trd,9.020387466612463e-12
2000,mov,trn,8.908043536197614e-12
2000,mov,trd,8.972254125220764e-12
2000,fpd,trn,8.896072919821736e-12
2000,fpd,trd,8.960171822357131e-12
2000,slg,trn,8.946675133411856e-12
2000,slg,trd,9.011310058678742e-12
2000,pri,trn,8.941143164667172e-12
2000,pri,trd,9.005687455808107e-12
2000,grd,trn,8.889604354575944e-12
2000,grd,trd,8.953631836048235e-12
2000,pip,trn,21.12298456477731
2000,pip,trd,8.986113014709609e-12
2000,sle,trn,8.942745816609346e-12
2000,sle,trd,9.007297166737989e-12
2000,osv,trn,8.951234041234883e-12
2000,osv,trd,9.015902011786766e-12
2000,trn,trn,32.0210578169657
2000,trn,trd,9.022689628518796e-12
2000,smn,trn,8.841207184895466e-12
2000,smn,trd,8.904721401232559e-12
2000,fmt,trn,8.94737419070432e-12
2000,fmt,trd,9.011966696235712e-12
2000,pet,trn,8.936444338267252e-12
2000,pet,trd,9.000946742393344e-12
2000,mvt,trn,8.924448890934617e-12
2000,mvt,trd,99.34173948619164
2000,cep,trn,8.943203281240159e-12
2000,cep,trd,9.007736279809806e-12
2000,wst,trn,8.925432842141093e-12
2000,wst,trd,8.989837587394462e-12
2000,mot,trn,8.944240633807953e-12
2000,mot,trd,9.00882066840957e-12
2000,adm,trn,8.9489285069256e-12
2000,adm,trd,9.01349170194147e-12
2000,soc,trn,8.89335561154074e-12
2000,soc,trd,8.957427359514028e-12
2000,alt,trn,8.903497567533464e-12
2000,alt,trd,8.967639303549962e-12
2000,pmt,trn,8.901508220377725e-12
2000,pmt,trd,8.965655621745139e-12
2000,trk,trn,148.33535641853817
2000,trk,trd,9.034024571065865e-12
2000,fdd,trn,8.938714560516186e-12
2000,fdd,trd,9.00325883018496e-12
2000,gmt,trn,8.919939732377446e-12
2000,gmt,trd,104.41411449848282
2000,wtt,trn,8.880105137484222
2000,wtt,trd,9.020045837079204e-12
2000,wpd,trn,8.932278240948431e-12
2000,wpd,trd,8.996761103508062e-12
2000,wht,trn,8.924911055216275e-12
2000,wht,trd,665.0730377785294
2000,wrh,trn,8.96339144142275e-12
2000,wrh,trd,9.028156559232425e-12
2000,ott,trn,8.93036826825446e-12
2000,ott,trd,442.6434838284078
2000,che,trn,8.935764051063392e-12
2000,che,trd,9.000222310718306e-12
2000,air,trn,2.4278931146587444
2000,air,trd,9.019664457976558e-12
2000,mmf,trn,8.913852133719121e-12
2000,mmf,trd,8.978129716672285e-12
2000,otr,trn,1.3045619334439353
2000,otr,trd,9.00839043963183e-12
2000,min,trn,8.921930945181568e-12
2000,min,trd,8.986298255741247e-12
2001,ppd,trn,5.295119359216213e-12
2001,ppd,trd,5.342822587700392e-12
2001,res,trn,5.2876708093555435e-12
2001,res,trd,5.335301666753895e-12
2001,com,trn,5.276168235213788e-12
2001,com,trd,5.32362478224807e-12
2001,amb,trn,5.292089776784788e-12
2001,amb,trd,5.339780713696557e-12
2001,fbp,trn,5.297884705213261e-12
2001,fbp,trd,5.345645877043809e-12
2001,rec,trn,5.259928026624514e-12
2001,rec,trd,5.307302628178443e-12
2001,con,trn,5.297594608851425e-12
2001,con,trd,5.345342517534235e-12
2001,agr,trn,5.2943507270194116e-12
2001,agr,trd,5.34210861205586e-12
2001,eec,trn,5.281845819241183e-12
2001,eec,trd,5.3293977455459545e-12
2001,fnd,trn,5.288497756610313e-12
2001,fnd,trd,5.336135719941767e-12
2001,pub,trn,5.287450340511901e-12
2001,pub,trd,5.335088142650876e-12
2001,hou,trn,5.2945242698638906e-12
2001,hou,trd,5.342221216145823e-12
2001,fbt,trn,5.2788024199262255e-12
2001,fbt,trd,126.61374119906203
2001,ins,trn,5.301924611980499e-12
2001,ins,trd,5.3496890895612306e-12
2001,tex,trn,5.2826711013298875e-12
2001,tex,trd,5.330243918934059e-12
2001,leg,trn,5.310649883701979e-12
2001,leg,trd,5.358518823285838e-12
2001,fen,trn,5.334616243855686e-12
2001,fen,trd,5.3827178379642784e-12
2001,uti,trn,5.307361989393032e-12
2001,uti,trd,5.35525398337634e-12
2001,nmp,trn,5.284360198830428e-12
2001,nmp,trd,5.331969131158548e-12
2001,brd,trn,5.308421406287121e-12
2001,brd,trd,5.356305650598491e-12
2001,bnk,trn,5.298902770025867e-12
2001,bnk,trd,5.3466187437004455e-12
2001,ore,trn,5.3117812147394664e-12
2001,ore,trd,5.35967725570144e-12
2001,edu,trn,5.28970496889627e-12
2001,edu,trd,5.33741678783247e-12
2001,ote,trn,5.279028400346254e-12
2001,ote,trd,5.32655463863858e-12
2001,man,trn,5.312560600334689e-12
2001,man,trd,5.360414379821913e-12
2001,mch,trn,5.2920442003384454e-12
2001,mch,trd,5.3397237476707e-12
2001,dat,trn,5.307587565404873e-12
2001,dat,trd,5.355414537070869e-12
2001,amd,trn,5.2776636146507795e-12
2001,amd,trd,5.32511923198203e-12
2001,oil,trn,5.261448499625981e-12
2001,oil,trd,5.308735249202951e-12
2001,hos,trn,5.298627726344439e-12
