yr,j,i,value
1997,fnd,uti,0.04570552820339884
1997,fnd,hos,1.1543583346413482
1997,fnd,fof,0.08870293085061862
1997,fnd,fin,0.06971406599928401
1997,fnd,tsv,8.05525357314863
1997,fnd,pri,0.006921497783799187
1997,fnd,pmt,0.0010648904293117593
1997,fnd,che,0.005905977929932872
1997,fnd,mmf,0.05200912026156368
1997,pub,com,1.444195969629749
1997,pub,con,0.007026048209765886
1997,pub,pub,125.98621015303034
1997,pub,edu,1.2606231062159543
1997,pub,dat,3.7322071342094354
1997,pub,rnt,0.01803399169549076
1997,pub,tsv,54.527636176175356
1997,pub,pri,1.5606076468999632
1997,pub,adm,0.559375351166555
1997,pub,wht,0.43553016217021007
1997,pub,ott,0.2083708929117853
1997,hou,com,0.03406934844751747
1997,hou,con,23.45756583591334
1997,hou,hou,845.2347513962205
1997,hou,tsv,0.006009724113184649
1997,fbt,res,4.042207908341871
1997,fbt,com,0.002028037588478468
1997,fbt,fbp,5.420839446137073
1997,fbt,rec,0.055752893323343516
1997,fbt,con,0.002029650416907213
1997,fbt,fbt,105.68716561230768
1997,fbt,bnk,0.028418762016003556
1997,fbt,rnt,1.0302035870654886
1997,fbt,tsv,0.01925818457650224
1997,fbt,osv,0.2808987152941888
1997,fbt,adm,0.07804408627733495
1997,fbt,wrh,0.009061266245795898
1997,ins,com,0.41228653990910935
1997,ins,con,0.010015023318321744
1997,ins,ins,338.9369835811315
1997,ins,leg,0.09095790051967567
1997,ins,ore,0.28992123611922355
1997,ins,tsv,0.35809855676119307
1997,ins,sec,0.3269979455982664
1997,tex,ppd,0.11119761676819309
1997,tex,com,0.09695131259156538
1997,tex,con,0.05255722241540121
1997,tex,tex,80.62197942868647
1997,tex,pla,0.33809141012744764
1997,tex,tsv,0.21603070880917669
1997,tex,fpd,0.3765073650852267
1997,tex,pri,0.04616340621514576
1997,tex,fmt,0.14697710107582568
1997,tex,mot,0.6432523541469358
1997,tex,alt,0.396101500332068
1997,tex,pmt,0.06153885837642837
1997,tex,wht,0.6943655639604192
1997,tex,che,4.714734403901319
1997,tex,mmf,0.1314815056559623
1997,leg,com,0.09109603806276298
1997,leg,leg,152.46332067039486
1997,leg,tsv,0.08205208505387897
1997,fen,res,1.8766290102362513
1997,fen,com,0.36238349174636586
1997,fen,rec,0.0029939609123441585
1997,fen,ins,2.3548326288337287
1997,fen,tex,0.009843529493526074
1997,fen,fen,60.38829579582326
1997,fen,uti,8.15846761361576
1997,fen,ore,0.8367636782506513
1997,fen,edu,0.0009975114868076304
1997,fen,mov,0.0966449871612773
1997,fen,osv,0.0019894627094982696
1997,fen,gmt,3.485885548751283
1997,fen,wht,0.004859574957490902
1997,fen,wrh,0.02477749662549519
